paper_id,claim_id,claim_type,claim_split_status,adversary_position,adversary_capabilities,preconditions,mechanism,interaction_surface,primary_system_failure,reported_impact,metric_definition,unit_denominator,evidence_locators,source_review_status,expert_decision
triedman2025malicious_code,,attack_candidate,pending_claim_level_extraction,"External adversary controlling web, file, email, audio, or other untrusted content.",Places indirect prompt injection that changes LLM-mediated routing or invocation decisions.,Framework orchestrators use generated text or metadata to route among specialist agents and code-capable functions.,Indirect prompt injection plus confused-deputy or control-flow laundering.,Untrusted content; inter-agent messages; orchestration metadata; routing; tool invocation.,"F6 delegation, authority, and control-flow integrity failure.","Unauthorized invocation, data exfiltration, or arbitrary code execution.",Trial-level attack success and successful unsafe or code invocation.,"Unit: Attack trial and framework/model configuration.; Denominator: Trials for each framework, model, and attack scenario.","Abstract and Introduction, PDF pp. 1 to 2; attack design and system diagrams, PDF p. 2 onward; framework/model result tables; mitigation analysis.",source_reviewed_pending_author_signoff,pending
yu2025netsafe,,attack_candidate,pending_claim_level_extraction,Malicious-query source or compromised interaction input in adversarial subsets.,"Introduces misinformation, bias, or harmful content that propagates and is aggregated.",Agents iteratively exchange information according to a configured RelCom graph.,"Topology-conditioned propagation and aggregation. Topology itself is an evaluation variable, not an attack mechanism.",Communication topology; iterative messages; aggregation.,Claim-level F1 or F4 for adversarial subsets; adjacent reliability and fairness for other phenomena.,Task-performance and safety degradation in evaluated settings.,Per-agent and aggregate joint accuracy or safety outcomes by round and topology.,"Unit: Agent, round, and task.; Denominator: Per-agent or aggregate task cases as defined in each experiment.","Abstract and framework, PDF pp. 1 to 3; result sections naming Agent Hallucination, Aggregation Safety, and Security Bottleneck; exact result table for the 29.7% setting; limitations section.",source_reviewed_pending_author_signoff,pending
huang2025faulty_agents,,attack_candidate,pending_claim_level_extraction,Faulty or malicious member agent; fault injector controls role prompt or outgoing message.,"AutoTransform alters role behavior; AutoInject inserts syntactic, semantic, or task-specific errors into selected agent outputs.",Fixed collaboration templates and task scoring; errors are synthetically generated.,Role transformation or message-level fault injection followed by downstream propagation.,Role prompt; inter-agent messages; collaboration topology.,Collective output-integrity and reliability failure.,Task performance drops; Challenger/Inspector recover a portion of injected errors.,"Task-specific accuracy/quality, performance drop, and error-recovery fraction.","Task instances and injected-error events; 5.5/10.5/23.7 are average performance drops by structural group, not ASR.",PDF Sec. 3 pp. 3-4 Fig. 2; Sec. 4 pp. 4-6 Tables 1-2; Sec. 5 pp. 6-8; Sec. 6 pp. 8-9 Fig. 6.,assistant_source_reviewed_pending_author_signoff,pending
he2025communication_attacks,,attack_candidate,pending_claim_level_extraction,Agent-in-the-middle adversary on selected communication links.,Intercepts and adaptively rewrites protocol-valid messages under role and format constraints.,Access to selected message paths; endpoints trust messages without authenticated integrity protection.,Context-aware message interception and adaptive rewriting using reflection.,Inter-agent communication links; protocol-valid message content.,F3 communication integrity failure.,F4 collective task or decision integrity failure as a downstream consequence.,Whole-dataset ASR for targeted behavior or denial-of-service outcomes.,Unit: Task instance.; Denominator: All evaluated dataset instances for a setting.,"Abstract and threat model, PDF pp. 1 to 3 and Fig. 1; metric definition in Sec. 4.1, approximately PDF p. 5; evaluation tables for framework, structure, and application results; limitations section.",source_reviewed_pending_author_signoff,pending
lupinacci2025darkside,,attack_candidate,pending_claim_level_extraction,Malicious peer agent in the MAS-specific condition; also external user and RAG-data attacker in comparators.,Send the same malware-installation/system-compromise request through different provenance channels.,Victim is tool-capable and can install/execute software; safety behavior depends on sender/context provenance.,"Inter-Agent Trust Exploitation, a confused-deputy/provenance attack where a peer-origin request bypasses refusals.",Peer-agent request channel; request provenance; tool execution; user/RAG boundaries as controls.,Cross-agent authorization and action-integrity failure.,Controlled host-compromise actions; 18/18 tested models accepted the inter-agent condition in the paper’s setup.,Fraction of 18 tested model backbones that execute/complete the requested compromise under each origin condition.,"Models/backbones (18), not prompts, tasks, agents, or populations: 17/18 direct, 15/18 RAG, 18/18 inter-agent.",ArXiv v6 Abstract p. 1; attack-surface and inter-agent sections pp. 5-6; evaluation pp. 5-6.,assistant_source_reviewed_pending_author_signoff,pending
he2025atrust,,attack_candidate,pending_claim_level_extraction,"Unreliable, biased, deceptive, toxic, irrelevant, or low-quality peer agents.",Send protocol-valid messages that vary along six trust dimensions.,"Message content, sender identity, and model attention/internal trust features are available; thresholds generalize across models/tasks.",Attention-derived trust scores support message-level and agent-level filtering/down-weighting.,Incoming peer messages; aggregation; model attention/internal signals; identity history.,Collective decision-integrity degradation from untrustworthy contributions.,Improved benchmark robustness/task accuracy across tested message categories.,"Trust classification/dimension scores, task accuracy, and robustness to injected message categories.",Message and task-instance level; threshold sensitivity/false alarms must be reported separately from task accuracy.,"arXiv abstract for six dimensions, A-Trust/TMS, and acceptance comment; full paper Secs. 2–3 and result/limitation sections. Exact tables/pages require author signoff.",assistant_source_reviewed_pending_author_signoff,pending
zhang2025allies_foes,,attack_candidate,pending_claim_level_extraction,One or two malicious member agents inside the collaboration group.,"Generate a counterfactual answer, observe shared responses, retain interaction history, and adapt misleading responses across rounds.",Fixed-answer tasks; symmetric sharing of agent responses; at most five honest collaborators; synthetically generated counterfactual answer.,Adaptive counterfactual-answer persuasion through repeated group communication.,Inter-agent deliberation; communication schedule; consensus formation.,Collective decision-integrity failure.,"Honest agents adopt the adversarial answer earlier or more often, reducing group robustness.","System Defense Index aggregates whether initially non-adversarial agents adopt the counterfactual answer and the first affected round; also reports First Attacked Time, consensus, and accuracy.",SDI is averaged over dataset questions and includes agent and round terms; it is not a conventional task-level ASR.,"PDF pp. 1-3, Secs. 2.1-2.4 and Eqs. 1-3; pp. 3-6, Figs. 1-4; p. 9 Limitations.",assistant_source_reviewed_pending_author_signoff,pending
xie2025_whos_the_mole,,attack_candidate,pending_claim_level_extraction,One intention-hiding malicious member.,Alter its own protocol-valid messages while appearing role-consistent; no access to peers’ internals.,"Peers trust ordinary member messages; defender can probe, monitor, and possibly remove members.","Four distinct strategies: suboptimal fixation, reframing misalignment, fake injection, and execution delay.",Role-consistent peer communication; coordination; membership; pre-task interrogation.,Collective decision/objective integrity failure.,Reduced task success or increased completion cost; AgentXposed detection/recovery in controlled tasks.,"Task accuracy, completion efficiency, malicious-agent detection accuracy, and post-intervention recovery.",Task instances and agent-level detection decisions; no single attack-success denominator across all four attacks.,ArXiv v2 Sec. 4.2 pp. 4-6; Sec. 4.4 pp. 6-7 Figs. 3-6; Sec. 5.1 p. 8 Table 1.,assistant_source_reviewed_pending_author_signoff,pending
li2026a2asecbench,,attack_candidate,pending_claim_level_extraction,"Malicious registered remote agent, spoofed AgentCard publisher, or adversarial A2A protocol peer.","AgentCard spoofing, capability cloaking, cyclic delegation, half-open task flooding, agent-side request forgery, and artifact-triggered script injection.","Protocol-valid discovery, task, request, and artifact interfaces and an adapter that preserves semantics across implementations.",Protocol-logic abuse or supply-chain manipulation introduces and activates a malicious peer.,Registry and AgentCard; discovery; asynchronous task state; remote requests; returned artifacts.,"Claim-level identity, confidentiality, integrity, or availability failures.","Unsafe request handling, resource exhaustion, or artifact execution.",Attack or safety outcome plus benign utility or helpfulness; Capability Cloaking also reports label accuracy and evidence quality.,Unit: Benchmark case and SUT trial.; Denominator: Repository release includes 100 AgentCard Spoofing cases and 100 cases for each Capability Cloaking split; other executable families have attack cases and matched controls.,"Official ICLR 2026 poster record; project README for the seven listed benchmark rows, release-case counts, matched controls, deterministic baselines, and output schema. Exact paper page and table references remain unresolved.",blocked_pending_exact_source,pending
an2026aciarena,,attack_candidate,pending_claim_level_extraction,"external-input adversary, malicious/compromised agent profile, or on-path message poisoner depending on scenario","inject via external inputs, agent profiles, or inter-agent messages to hijack, disrupt, or exfiltrate",six supported MAS implementations and benchmark-defined access for each threat scenario,agent cascading injection propagates through trusted communication/role relationships,external input; agent profile; inter-agent message,"instruction integrity, availability, or confidentiality failure, claim-specific","workflow hijacking, task disruption, information exfiltration, and propagation","Benign Utility, Attack Success Rate, Defense Success Rate, Propagation Success Rate",test case/run within surface-objective-system cells; metrics have different predicates and cannot be collapsed,"ACL paper Abstract and section 4, section 5.1; 1,356 cases, six implementations, metric definitions",assistant_source_reviewed_pending_author_signoff,pending
elyagoubi2026agentleak,,attack_candidate,pending_claim_level_extraction,varies by attack family; over-disclosure also occurs without a strategic attacker,"prompt/instruction, tool, memory/persistence, or multi-agent coordination manipulations","instrumented coordinator-worker framework, contextual privacy labels, seven channel definitions","sensitive context is transmitted, retained, or passed to tools through internal coordination channels",final output; inter-agent messages; reasoning/context; tool input/output; shared memory; logs; artifacts,cross-channel confidentiality and data-minimization failure,hidden internal leakage and increased total exposure despite cleaner final outputs,"C1/C2/C5 channel leakage rates, whole-system OR-union exposure, hidden-leakage H1, attack-family ASR","4,979 model-scenario traces for C1/C2/C5; channel rates and OR-union are not additive; attack-family ASR uses 1,983 attack tests","IEEE/arXiv Tables 8, 10-15; Figures 3-5; main benchmark and methods sections",assistant_source_reviewed_pending_author_signoff,pending
rabieinejad2026alteda,,attack_candidate,pending_claim_level_extraction,External or compromised-agent attacker whose actions produce application/network/host events.,"Prompt hijacking, retrieval poisoning, tool-use redirection, and related cross-agent actions represented in red-team traces.","Synchronized, trustworthy application/network/system logs; stable agent attribution and clocks; graph construction and detector are trusted.",Convert each execution into an attributed directed multigraph; graph-level classification plus partial-trace early detection and SHAP-based attribution.,Application events; network events; operating-system events; global execution trace.,Detection/attribution failure when distributed attack evidence is fragmented across telemetry layers.,End-to-end detection and early high-trust alerts around 40% trace progress in the authors’ red-teamed environment.,"End-to-end detection performance, false alarms, early-detection performance versus trace progress, attribution quality, and computational overhead.","Execution-trace level. The 31.4% figure is the attack success rate in the generated red-team runs, not the fraction of attack traces.","ScienceDirect abstract for 800 traces, 31.4% ASR, ~40% early alerts, content-free telemetry, and SHAP attribution; full article architecture/evaluation sections for exact tables. Author signoff required.",assistant_source_reviewed_pending_author_signoff,pending
yang2026among_us,,attack_candidate,pending_claim_level_extraction,Supply-chain/member adversary contributing one or more malicious language models to a collaboration pool.,"Engineer malicious contributors via prompting, activation steering, supervised fine-tuning, or inverted-reward RL; participate in routing/text/logit/weight collaboration.",System admits third-party contributor models and lacks perfect pre-admission detection; trusted external supervisor may be added for mitigation.,Malicious contributor insertion into one of four collaboration levels.,Contributor admission; API routing; text exchange; logit aggregation; weight merging.,Collective output/safety integrity degradation.,"Average degradation reported across reasoning and safety tasks; supervisor recovers much of benign performance, but effects are task/collaboration specific.",Task performance and degradation relative to benign collaboration; recovery fraction after mitigation.,"Dataset/task examples and aggregate performance differences by collaboration method; 7.12%, 7.94%, and 95.31% are reported averages, not attack-success probabilities.",ACL paper Abstract p. 1; Secs. 2.1–2.2 pp. 2-4; Appendix A.1 p. 14 Table 4.,assistant_source_reviewed_pending_author_signoff,pending
hagag2026architecture_matters,,attack_candidate,pending_claim_level_extraction,Malicious user issuing direct harmful tasks; no compromised member.,Submit harmful task only; cannot inject memory/messages or control agents.,"Architecture fragments task intent, authority, or context; matched benchmark/model comparisons within each design axis.","Compositional context fragmentation and distributed tool authority, not a newly crafted attack payload.",Role decomposition; routing/topology; memory visibility; tool authority.,Compositional harmful-action and authorization-integrity failure.,Partial or completed harmful task execution that a standalone agent may refuse.,"Planning Refusal, Execution Refusal, Harmful Action, Harmful Task completion, and benign accuracy.","Task instances; the 3.8x comparison is a ratio of harmful-task completion rates in selected matched configurations, not a universal effect size.",ArXiv Sec. 4 pp. 4-5 and Tables 8-10; Sec. 4.4 p. 5; Secs. 5.1-5.3 pp. 5-8; Sec. 8 p. 9.,assistant_source_reviewed_pending_author_signoff,pending
yan2026mast,,attack_candidate,pending_claim_level_extraction,On-path communication adversary controlling a subset of links.,"Observe, select, and replace messages across rounds; knows graph and role/task context; cannot directly alter agent state.",Unauthenticated or modifiable communication links and continuous access to selected channels.,MCTS/DPO-trained adaptive multi-round tampering with semantic and embedding similarity constraints.,Inter-agent messages; communication graph.,Communication integrity and collective task-integrity failure.,Steered final joint output toward attacker goals while evading a semantic detector.,Final-output Attack Success Rate plus message-level stealthiness under a trusted LLM detector.,Task instances for ASR and transmitted messages for detector/stealth metrics; these denominators must remain separate.,"AAAI PDF Sec. 3.2 p. 3; Secs. 4.1-4.2 pp. 3-5, Fig. 2, Eqs. 10-11; Secs. 5.1-5.2 pp. 5-7, Table 1.",assistant_source_reviewed_pending_author_signoff,pending
nother2026badacts,,attack_candidate,pending_claim_level_extraction,one compromised member agent,send persuasive/deceptive messages through ordinary role interfaces,emulated tool environments and executable harm evaluators; one member controlled,malicious peer induces honest agents to perform target harmful action through message influence and delegated tools,inter-agent messages; role trust; tool delegation; shared task execution,compositional action-integrity/authorization failure,"unauthorized, unsafe, privacy-violating, or resource-abusing actions",environment-specific executable harmful-action success plus benign task outcomes,"937 curated harmful actions in accepted version; aggregation crosses model, role, harm category, and architecture","Accepted paper contribution list p.2, threat model/Figure 1, benchmark design and ethics/reproducibility sections",assistant_source_reviewed_pending_author_signoff,pending
miao2026blindguard,,attack_candidate,pending_claim_level_extraction,Three compromised member agents in the main evaluation.,"Alter messages through prompt attack, malicious tool return, or poisoned memory.",Normal-behavior traces are available for training; graph identities/responses are visible; defender can prune bidirectional edges.,Hierarchical agent encoder plus synthetic feature corruption/contrastive anomaly scoring and topology pruning.,Prompts; tool outputs; memory; agent messages; communication graph.,Propagation containment and collective decision-integrity failure.,"Post-attack collective answer degradation, malicious-agent AUC, and post-pruning ASR/accuracy in controlled settings.","ASR@3 after three rounds, malicious-agent detection AUC, and task accuracy/utility.",Task-instance level for ASR@3 and agent-label level for AUC; do not collapse detection and system recovery.,ACL metadata/abstract; published PDF Sec. 3 and Fig. 2 for method; Sec. 4.1/Table 1 for attack families/topologies/backbones/metrics.,assistant_source_reviewed_pending_author_signoff,pending
jha2026control_flow_hijacking,,attack_candidate,pending_claim_level_extraction,External content adversary controlling one item ingested by a benign member.,"Embed instructions in content; induce fake error and repair plan; no control of user prompt, agents, or internals.",Adaptive orchestrator trusts member summaries and routes all agent calls through an enforceable orchestration point.,Alignment-check-evasive control-flow hijacking via trusted-agent laundering and attacker-chosen recovery sequence.,Untrusted content; member status reports; replanning; orchestrator transition; delegated tools.,Delegation/control-flow and authorization integrity failure; confidentiality impact in exfiltration cases.,"Unsafe agent invocation, code execution, unauthorized data sending, and contextual privilege misuse.","Task-level ASR, exact/open-ended task utility, CFG parse/completeness, and runtime.",CFH-Hard tasks/attacks and modified AgentDojo cases; “blocked all” means zero successes in the finite evaluated suite.,Full text Sec. 2 p. 2 Figs. 1-3; Sec. 4 pp. 4-5 Fig. 4; Sec. 5 p. 6; Secs. 6.3-6.4 pp. 8-9 Tables 1-3.,assistant_source_reviewed_pending_author_signoff,pending
wu2026cia,,attack_candidate,pending_claim_level_extraction,External black-box querier.,"Submit crafted queries and observe exposed outputs; no access to graph, prompts, internal messages, roles, or weights.",Information-flow dependencies create semantic correlations observable at the interface; tested systems use optimized hidden graphs.,"Adversarial query generation, global-bias disentanglement, LLM weak supervision, and edge classification.",Public query/output interface; semantic traces of hidden communication.,Structural confidentiality and architecture IP leakage.,Reconstruction of hidden communication edges; no follow-on exploit is demonstrated.,Edge-classification AUC and related classification measures.,Candidate graph edges across test systems; not task-level ASR.,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Sec. 5 pp. 8-10 and main result tables.,assistant_source_reviewed_pending_author_signoff,pending
nakamura2026colosseum,,attack_candidate,pending_claim_level_extraction,coalition of member agents with a secondary objective,"secret communication, persuasion, and coordinated action selection",DCOP objective and cooperative optimum specified; coalition objective known to evaluator,coalition coordinates through ordinary or secret channels to optimize secondary objective,free-form messages; secret channel; joint action space,collective objective and oversight integrity failure,regret/coalition advantage and mismatch between textual collusion and realized actions,"overall regret, coalition advantage, LLM-judge collusion labels, text-action agreement","episode/environment/coalition; regret is objective-relative, not an ASR","arXiv abstract, sections 4-5, metric equations, environment and results sections",assistant_source_reviewed_pending_author_signoff,pending
arif2026conjunctive,,attack_candidate,pending_claim_level_extraction,Adversary controlling trigger placement and one remote-agent template while leaving model weights and the client agent unchanged.,Places two fragments and relies on system routing to combine them.,"Star, chain, or DAG routing eventually joins the trigger and hidden template in one effective context.",Conjunctive activation of individually benign fragments.,User query; remote-agent template; routing and provenance; local guards.,"F3 communication, context, or action integrity failure.",Harmful action or unsafe output. F6 authority integrity should be secondary only when an explicit privileged action or permission escalation is demonstrated.,ASR and false activation across topologies and control conditions.,Unit: Attack scenario or routed task.; Denominator: Evaluated scenarios for each topology and fragment condition.,"Abstract, PDF p. 1; threat model and routing composition, PDF p. 1 onward; experimental tables for clean, single-fragment, and combined conditions; topology tables for star, chain, and DAG.",source_reviewed_pending_author_signoff,pending
zhou2026corba,,attack_candidate,pending_claim_level_extraction,Source of a semantically benign recursive instruction.,Introduces content that agents accept and recursively pass or act upon.,Agents can initiate further messages or tasks for peers and lack a global collaboration budget.,Recursive contagious instructions create cycles of meaningless collaboration.,Inter-agent communication; delegation or invocation; topology; resource plane.,F7 availability and resource boundedness failure.,"System paralysis and loss of useful collaboration. Contagion is a mechanism, not the primary failure label.",P-ASR and peak-blocking-turn style measures.,Unit: Agent and interaction turn.; Denominator: P-ASR equals blocked agents divided by total agents in the network.,"Abstract and threat model, PDF p. 1 onward; metric definition and experiment tables, including topology results and repeated-run description; defense comparison section.",source_reviewed_pending_author_signoff,pending
yan2026evo_attacker,,attack_candidate,pending_claim_level_extraction,Gray-box malicious tool/API channel associated with one target agent.,"Monitor that agent’s tool calls and raw returns, replace at most B returns, retain local tool-interaction history; cannot see inter-agent messages or model internals.",At least one target agent uses a compromisable tool channel; downstream task outcome depends on its tool results; intervention budget B=3 in main experiments.,"Memory-augmented, deliberative multi-round tool-return manipulation optimized by Attack-Flow GRPO.",Tool/API return channel; target-agent local context; downstream communication and global task trace.,Collective task/action-integrity failure.,"Performance degradation across code, deep-research, and web tasks, sometimes propagating to terminal system failure.","Uses each benchmark’s official task metric (TS, Pass@1, RACE, WebArena SR, WebShop score) and reports absolute degradation from no-attack, rather than one common ASR.",Task/benchmark-specific instances. “Attack effectiveness” is metric decline; denominators are not comparable across benchmarks.,PDF Sec. 2 pp. 2-3; Fig. 1; Sec. 4.1 p. 4; Table 1 pp. 5; Table 2 pp. 5-6; Sec. 4.5; Limitations p. 8.,assistant_source_reviewed_pending_author_signoff,pending
pan2026xgguard,,attack_candidate,pending_claim_level_extraction,Compromised member agents.,"Produce malicious responses after prompt, tool-output, or memory poisoning.","Agent responses, identities, token/sentence representations, graph neighborhoods, and node-removal authority are available.","Bi-level token/sentence encoding, theme-aware graph anomaly detection, explanatory token attribution, and topology repair.",Agent response text; graph neighborhoods; prompts; tools; memory; communication topology.,Propagation containment and collective decision-integrity failure.,"Detection AUROC, lower post-defense ASR, answer accuracy, and explanation quality in tested settings.","AUROC, attack success rate, answer accuracy, and explanation/localization measures.",Agent/response-level anomaly labels for AUROC and task-instance level for ASR/accuracy.,ACL metadata/abstract; PDF Sec. 3 and Fig. 2 for architecture; Sec. 4.1/Table 1 for setup/topologies/attack surfaces.,assistant_source_reviewed_pending_author_signoff,pending
arora2026safeagents,,attack_candidate,pending_claim_level_extraction,malicious user issuing harmful requests,submit direct harmful prompts that are decomposed and delegated,"five observable architectures, trajectory judge, stage identities","task decomposition, context fragmentation, ignored refusal, and fallback behavior hide or reconstitute harmful intent",user request; planner; delegation; context sharing; subagents; fallback logic,compositional action-integrity and safety-enforcement failure,harmful workflow execution despite component refusals or incomplete context,"ASR, Refusal Rate, ARIA risk levels, DHARMA stage categories",task/trajectory; DHARMA is a diagnostic taxonomy rather than one scalar metric,"Workshop/arXiv Abstract, sections 3-5, Figure 3, main tables",assistant_source_reviewed_pending_author_signoff,pending
ju2026flooding,,attack_candidate,pending_claim_level_extraction,Adversary manipulates an initial model or agent before deployment and introduces manipulated knowledge through persuasion and knowledge injection.,"Uses DPO or LoRA-style persuasion adaptation and ROME-style knowledge editing, then relies on interaction and stored histories for spread.",Agents trust peer messages and may persist chat histories for later RAG retrieval.,Persuasiveness injection plus manipulated-knowledge injection followed by interaction-driven spread and persistence.,Agent model state; communication; chat history; RAG memory.,F3 communication and shared-knowledge integrity failure.,F1 containment and persistence failure is secondary.,"Spread accuracy for counterfactual or toxic knowledge, interaction turns, agent-order or population effects, and RAG persistence.","Unit: Agent response, knowledge item, or interaction turn depending on analysis.; Denominator: Must be copied from the final journal metric definitions and tables; the current record is too generic.","Abstract and Introduction, PDF pp. 1 to 2 of the accessible version; method in Sec. III; experiments in Sec. IV, especially the spread and RAG-persistence subsections. Recheck page and table numbers against the final journal PDF.",blocked_pending_exact_source,pending
zhou2026shield_target,,attack_candidate,pending_claim_level_extraction,External content adversary whose payload is read and evaluated by runtime guardrail.,Inject natural-language content optimized to extend guardrail reasoning; no guardrail code or agent control.,Guardrail is on action-critical path and shared among agents; scheduling/resource limits allow one request to block others.,Schema-shaped/optimized reasoning-extension payload causing guardrail token and latency amplification.,Untrusted content; shared guardrail service; scheduling/queue; timeout policy.,Shared-service availability and resource-isolation failure.,"13–63× token amplification in standalone tests, up to 148× latency in end-to-end deployments, and starvation/head-of-line blocking in shared MAS guardrail setting.","Generated tokens, latency amplification, throughput, blocked/task-success outcomes.","Request/deployment-level resource ratios; amplification factors are ratios, not ASR or affected-agent fraction.",ArXiv v2 Abstract p. 1; Secs. 3-5 pp. 4-7 Fig. 1; Sec. 7.2 pp. 11-12 Table 10; conclusion p. 16.,assistant_source_reviewed_pending_author_signoff,pending
lemercier2026gambit,,attack_candidate,pending_claim_level_extraction,one member agent acting as an adaptive imposter,"participate in ordinary collective discussion, optimize deceptive messages against the current detector, and evolve strategies over generations","chess substrate with deterministic correctness, labeled imposter/benign discussions, detector access during co-evolution, and 20 labeled post-shift examples in recalibration mode",co-evolved strategically deceptive reasoning degrades the collective while minimizing detector evidence,inter-agent deliberation; member role; adaptive attack/defense feedback loop; observer calibration,collective decision integrity and malicious-member detectability failure,collective task collapse with near-chance detection in the highlighted adaptive setting; large differences in few-shot adaptation despite similar zero-shot scores,three benchmark modes; two independent detection/adaptation scores; F1 for imposter detection; collective chess performance,"27,804 labeled discussion instances spanning 240 co-evolved imposter strategies; 22,104 train and 5,700 held-out according to the paper note",arXiv abstract; method and benchmark sections; Figure 1; dataset split and adaptation result tables. Exact page/table locators require final author signoff.,assistant_source_reviewed_pending_author_signoff,pending
mateotorrejon2026gammaf,,attack_candidate,pending_claim_level_extraction,compromised communicating member node,send adversarial debate messages that steer peers and prolong deliberation,"observable attributed graph, benchmark-generated attack labels, live rounds, and authority to isolate flagged nodes",malicious messages alter neighborhood reasoning; graph detectors identify nodes and dynamically remove them,inter-agent messages; graph neighborhoods; topology; remediation controller,collective answer integrity and resource-efficiency degradation,wrong consensus and higher token cost; successful early isolation can restore integrity and shorten adversarial deliberation,"agent/task accuracy, ASR, malicious-node detection performance, token cost, and execution efficiency",task-run and agent/node instances generated by the framework; exact dataset sizes and split denominators require PDF signoff,arXiv abstract; architecture Figure 2; training-data-generation and defense-benchmarking sections; main result tables,assistant_source_reviewed_pending_author_signoff,pending
rahman2026harp,,attack_candidate,pending_claim_level_extraction,"compromised specialist member, colluding members, or attacker controlling shared context/memory","alter specialist outputs, coordinate small deviations, corrupt shared evidence, and trigger delayed or persistent perturbations","paired clean/perturbed executions under the same database seed, deterministic decision gate, trace oracle, and full event instrumentation","local deviations are routed, reused, reinforced, or persisted until they produce broader trace-level harm",specialist outputs; tools; shared context; memory; router; guard events; deterministic decision gate,propagation and compromise-containment failure with downstream action/decision integrity impact,"local and global harm diverge; different threat regimes maximize amplification, ASR, or malicious impact",ASR; safe and malicious impact; local harm; global harm; harm amplification H_global/H_local; stealth; benign utility; latency; normalized token cost,"paired query traces over 12 scenarios and five defense settings; local harm is over targeted components, global harm over all participating agents/events",arXiv abstract and lines 104-124 of HTML; methodology sections 3.1-3.2; Tables 1 and 3-5; trace and metric definitions,assistant_source_reviewed_pending_author_signoff,pending
zhou2026hierarchical_attacks,,attack_candidate,pending_claim_level_extraction,"Variant-specific external or infrastructure adversary with access to one or more perception, communication, shared-state, tool, or reasoning surfaces.","Perturb images/text, spoof agents/tools, block links, pollute shared memory/context, alter roles, or inject reasoning instructions.",OxyGent hierarchical MM-MAS; attack privilege differs by variant and must not be collapsed into one attacker model.,"HAM3 layered attack suite across perception, communication, and reasoning.",Multimodal input; identity; communication links; shared memory/context; tools; reasoning trace.,"Multiple claim-level failures: decision integrity, communication/topology integrity, shared-state integrity, and availability.","Incorrect root decision and, in many successful attacks, multiple agents converge on consistent errors.","Task Success Rate, ASR over clean-correct samples, Hallucination Error Rate, cross-modal consistency, and local/systemic error shares.",ASR denominator is clean-correct GQA samples; local/systemic shares are conditioned on successful errors. Do not compare directly with task-level ASR elsewhere.,CVPR pp. 42333-42335 Sec. 3 and Fig. 2; p. 42335 Sec. 4.1; p. 42336 Table 2; p. 42338 Fig. 5.,assistant_source_reviewed_pending_author_signoff,pending
sun2026insider,,attack_candidate,pending_claim_level_extraction,One legitimate malicious insider.,Observe interaction state; send protocol-valid natural-language messages; train an RL policy against a learned surrogate world model.,Benign agents iteratively deliberate; attacker can model their dynamics; one insider is admitted.,World-model-based reinforcement-learning policy for adaptive consensus delay/disruption.,Member messages; iterative consensus protocol; latent behavioral state.,Collective agreement/termination and decision-integrity failure.,Lower benign consensus rate and longer disagreement episodes than a direct malicious-prompt baseline.,Benign consensus rate and episode duration.,"Consensus episodes; duration/termination and agreement are separate metrics, not task ASR.",ArXiv v1 Abstract p. 1; problem formulation pp. 1-3; method pp. 2-4; experiment/results pp. 3-4.,assistant_source_reviewed_pending_author_signoff,pending
hu2026lying_truths,,attack_candidate,pending_claim_level_extraction,"Coalition of writer, editor, and director agents.","Select, rewrite, order, and publicly post factual fragments and coordinate their narrative construction.","Victims aggregate public posts, while message-level truth checks cannot reject individually factual fragments.",Open-channel cognitive collusion through generative montage.,Public multi-agent information channel; aggregation; provenance and cross-message context.,F4 collective decision or belief integrity failure.,Downstream propagation of a fabricated conclusion.,Victim attack success and downstream deception rate.,Unit: Rumor-event case or victim/judge decision.; Denominator: CoPHEME cases used in each evaluated split.,"Secs. 1 and 3, PDF pp. 1 to 6 for threat and method; Sec. 4, PDF pp. 6 to 8 for CoPHEME; Sec. 5, PDF pp. 8 to 12 for main result and propagation tables.",source_reviewed_pending_author_signoff,pending
wang2026masleak,,attack_candidate,pending_claim_level_extraction,Remote black-box API user.,Submits crafted queries and observes final outputs only.,"Internal agents may reveal, propagate, or retain proprietary information through orchestration.",Worm-inspired black-box elicitation and cross-agent disclosure propagation.,Public API; internal cross-agent communication; final output; architecture metadata.,F2 cross-principal or system-IP confidentiality violation.,"Extraction of prompts, instructions, tools, agent count, and topology.","F1 for agent count, semantic or substring match for prompts and instructions, binary tool hit, graph-edit similarity for topology, and an extraction-rate aggregate over seven components.","Unit: Application and protected component.; Denominator: Components or applications relevant to each metric. The aggregate ER is an average of seven component measures, not one universal ASR.",Official USENIX record and arXiv full paper; abstract for black-box model and corpus size; method and metric sections for the seven measures; main tables for 87% and 92% results.,source_reviewed_pending_author_signoff,pending
