severity,global_priority,paper_id,title,review_track,field_or_category,current_coding,recommended_correction,rationale,evidence_source,author_signoff_required
medium,41,kraidia2026collaboration_fails,When collaboration fails: persuasion driven adversarial influence in multi agent large language model debate,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Retain as attack-primary; record the two metric components separately; do not quote 10–40% or >30% without “across tested settings”; do not equate benchmark vote corruption with real-world harm.,Intentional malicious-member persuasion alters a collective decision through explicit inter-agent deliberation; this is not merely generic performance degradation.,Publisher HTML: abstract and Threat model & Attack design; paper pp. 4-5 Fig. 1/Algorithm 1; pp. 10-11 setup/metrics; pp. 14-16 Figs. 11-13 for mitigation.,yes
high,42,xu2026trust_paradox,The Trust Paradox in LLM-Based Multi-Agent Systems: When Collaboration Becomes a Security Vulnerability,standard_attack,metadata/scope/category/evidence/metric,scope=security_relevant; category=attack,Reclassify primary from attack to evaluation; downgrade whole-paper scope to security_relevant while retaining core-security claim records for malicious over-exposure; separate OER/AD units; add final IEEE pages when available.,"The paper mixes ordinary over-sharing and malicious requests; confidentiality/authorization claims are security-relevant, but not every trust-utility result is an attack claim.",ArXiv full text Sec. 3 pp. 3-4 Eqs. 2-4; Sec. 4 pp. 4-5 Tables I-III; Sec. 5 pp. 6-10 Figs. 4-9.,yes
medium,43,lee2026prompt_infection,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Use published three-author version; record event/year carefully; keep attack-primary but mark evidence tier as workshop; split propagation metric from downstream impacts and per-workflow ASR.,"Propagation, role-specific payloads, population containment, and cross-agent data/action effects depend directly on explicit interaction.",ArXiv/Springer technical text Sec. 3 pp. 3-4 Fig. 1; Sec. 4.1 p. 5 Fig. 4; Sec. 4.2 pp. 6-7 Fig. 6; Sec. 6 pp. 8-9 Table 2/Fig. 7.,yes
high,44,yang2026among_us,Among Us: Measuring and Mitigating Malicious Contributions in Model Collaboration Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Reclassify primary from attack to evaluation; downgrade whole-paper scope to security_relevant; split text-exchange core claims from API/logit/weight adjacent claims; never call performance-degradation percentages ASR.,"The malicious-contributor problem is important, but only a subset of the four collaboration levels cleanly satisfies the SoK’s strict LLM-MAS interaction boundary.",ACL paper Abstract p. 1; Secs. 2.1–2.2 pp. 2-4; Appendix A.1 p. 14 Table 4.,yes
medium,45,yu2025codes,LLM-based Multi-Agents System Attack via Continuous Optimization with Discrete Efficient Search,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Keep attack-primary; preserve single-intervention constraint; do not infer population-scale epidemic behavior or compare its success directly with agent-fraction infection metrics.,The main claim is interaction-dependent self-replication and failure of compromise containment.,Published PDF Abstract/Introduction pp. 1-2; threat scenarios throughout Sec. 2; method Sec. 3.2 p. 5 Algorithms 1-2; result tables in evaluation section.,yes
high,46,tian2023evil_geniuses,Evil Geniuses: Delving into the Safety of LLM-based Agents,standard_attack,metadata/scope/category/evidence/metric,scope=security_relevant; category=attack,Downgrade from core_security to security_relevant; mark preprint; split attack-generator evidence from target-system evidence; do not treat Table 3’s 1/2/7 comparison as a clean interaction causal estimate.,"Some claims concern interaction-amplified jailbreak risk, but the paper predates a precise independently-stateful-agent boundary and several results are general role-prompt jailbreak findings.",ArXiv v2 Sec. 4 p. 5 setup; p. 6 Tables 2-3 for interaction and quantity comparisons; Secs. 3-4 Figs. 2-4 for EG and target settings.,yes
high,47,tan2024wolf_within,The Wolf Within: Covert Injection of Malice into MLLM Societies via an MLLM Operative,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,"Record ReGenAI workshop rather than CVPR main; primary failure is one-hop safety compromise, not contagion; flag manual metric and denominator; use restrained evidence language.",The malicious objective is optimized through an explicit two-agent multimodal path and depends on inter-agent forwarding.,ArXiv v2 Sec. 3 p. 3 Eq. 2/Fig. 2; Sec. 4 pp. 4-5 Table 1/Figs. 2-4.,yes
high,48,zheng2025integrity_attacks,Demonstrations of Integrity Attacks in Multi-Agent Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Keep attack-primary but mark preprint; replace generic “integrity” with claim-specific failure fields; do not compare contribution-score changes as ASR; avoid treating monitor bypass as complete observability impossibility.,Intentional self-interested members manipulate MAS accounting/coordination while preserving apparent task function.,ArXiv v1 Abstract p. 1; Sec. 3 pp. 4-6; Sec. 4 p. 6; Sec. 5.3 p. 9 Table 3; Appendix C p. 13 Table 6.,yes
high,49,xie2025_whos_the_mole,Who's the Mole? Modeling and Detecting Intention-Hiding Malicious Agents in LLM-Based Multi-Agent Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Reclassify paper primary from attack to evaluation; mark preprint; split four mechanisms and one defense; do not equate task-cost degradation with a universal security impact.,"Intentional member compromise, interaction-dependent goal/decision degradation, membership monitoring, removal, and partial observability are core MAS security concerns.",ArXiv v2 Sec. 4.2 pp. 4-6; Sec. 4.4 pp. 6-7 Figs. 3-6; Sec. 5.1 p. 8 Table 1.,yes
high,50,zhu2025_collaborative_shadows,Collaborative Shadows: Distributed Backdoor Attacks in LLM-Based Multi-Agent Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Keep attack-primary but label preliminary; separate ASR from benign accuracy/accidental triggers; avoid broad impossibility claim about local scanning; code confidentiality only for relevant payloads.,"The attack depends on distributed authority, role-private tools, cross-agent sequencing, and failure of local inspection to compose.",ArXiv v1 Sec. 3 pp. 4-6 Fig. 2; Sec. 4.2 p. 7 and App. B pp. 15-17; Sec. 4.3 pp. 7-9 Table 1/Figs. 3-4; Sec. 5.1 p. 9 Fig. 5.,yes
high,51,liang2025_dont_trust_upstream,Don't Trust Your Upstream: Exploiting LLM Multi-Agent System via Topology-Guided Adversarial Propagation,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,"Keep attack-primary and core scope; label preprint; distinguish reconstruction F1, ASR, application 17/20, and blocking rate; qualify “real-world”; split topology inference from authority impact.","Topology confidentiality, graph reachability, multi-hop compromise, privilege distribution, and graph-aware intervention are native MAS security objects.",ArXiv v2 Sec. V pp. 5-10 Fig. 3; Sec. VII-D pp. 12-14 Table III; Sec. VII-E p. 15 Table VII; Sec. VII-F pp. 15-16 Tables VIII-X.,yes
high,52,weckbecker2026_thought_virus,Thought Virus: Viral Misalignment via Subliminal Prompting in Multi-Agent Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Downgrade scope to security_relevant; do not translate fold increase into ASR; qualify “misalignment” and monitoring claims; retain as an emerging observer/propagation perspective rather than headline evidence.,"Interaction-dependent covert propagation and monitorability are relevant, but the primary outcomes are controlled concept preferences/truthfulness rather than a conventional adversarial system compromise.",ArXiv v1 Abstract p. 1; Sec. 3 pp. 4-5 Figs. 2-3; Sec. 4 pp. 5-8 Tables 1-2; discussion pp. 8-9.,yes
high,53,lupinacci2025darkside,The Dark Side of LLMs: Agent-based Attack Vectors for System-level Compromise,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Downgrade paper scope to security_relevant; separate MAS condition from single-agent comparators; state 100% as 18/18 tested model backbones; do not generalize to universal compromise.,"The inter-agent provenance/authorization claim is core, but the paper as a whole is a broader agent system-compromise comparison and not exclusively MAS.",ArXiv v6 Abstract p. 1; attack-surface and inter-agent sections pp. 5-6; evaluation pp. 5-6.,yes
high,54,sun2026insider,Insider Attacks in Multi-Agent LLM Consensus Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Keep core attack claim but mark preliminary; do not compare with BFT fault thresholds; separate agreement rate from episode duration; avoid category-level conclusion based on this paper.,"Agreement, termination, malicious membership, and adaptive protocol-valid influence are inherently multi-party.",ArXiv v1 Abstract p. 1; problem formulation pp. 1-3; method pp. 2-4; experiment/results pp. 3-4.,yes
high,55,ahad2026sif,Semantic Intent Fragmentation: A Single-Shot Compositional Attack on Multi-Agent AI Pipelines,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Downgrade scope to security_relevant/boundary; clarify 10/14 denominator; qualify “all detected/no false positives”; do not count classifier families as agents; author signoff publisher metadata.,"Strongly relevant to global-vs-local observability and composition, but may be an agentic pipeline rather than a strict LLM-MAS under the proposed boundary.",Published/arXiv Abstract p. 1; threat/model sections; evaluation result reporting 10/14; publisher metadata for Vol. 9 No. 1 pp. 229–237.,yes
medium,58,xiao2026sgoatmas,You Don't Have to Be the One Doing Evil! Locate a Scapegoat within Multi-Agent Systems for Executing Covert Attacks,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,"Mark workshop evidence tier; keep attack-primary; separate system accuracy, detection, and scapegoat metrics; do not claim general covert/undetectable attack; deduplicate earlier submission.","Malicious membership, topology-dependent influence, downstream blame shifting, and observer attribution are interaction-native.",Workshop PDF Sec. 4 pp. 4-6 Fig. 1; Sec. 5 pp. 7-9 Tables 1-2.,yes
high,59,han2025alignment_tipping,Alignment Tipping Process: How Self-Evolution Pushes LLM Agents Off the Rails,standard_attack,metadata/scope/category/evidence/metric,scope=security_relevant; category=attack,Reclassify primary from attack to evaluation/failure study; retain security_relevant scope; split MAS diffusion from single-agent exploration; exclude from attack counts and use cautious “emerging evidence” language.,"The MAS diffusion pathway informs collective objective integrity, but there is no explicit adversary and half the paper is single-agent self-evolution.",ArXiv v2 Abstract p. 1; Sec. 2 pp. 3-4 Fig. 2; Sec. 3 pp. 6-7 Figs. 4-5.,yes
high,60,long2025funcpoison,FuncPoison: Poisoning Function Library to Hijack Multi-agent Autonomous Driving Systems,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Keep attack-primary; require ASR threshold in every numeric claim; separate tool-state integrity and trajectory impact; avoid real-world safety extrapolation.,"Shared tool/function supply chain, cross-agent propagation, and safety-critical joint trajectory depend on explicit role interaction.",ArXiv v2 Abstract/Sec. 1 pp. 1-2 Fig. 1; method pp. 2-4 Figs. 2-3; Sec. 5 pp. 6-8 Table 2/Figs. 5-6.,yes
medium,61,naik2026omni_leak,OMNI-LEAK: Orchestrator Multi-Agent Network Induced Data Leakage,standard_attack,metadata/scope/category/evidence/metric,scope=core_security; category=attack,Keep attack-primary/core; label preprint; preserve exact success predicate; clarify agent count and seven-author list; do not generalize to all orchestrator MAS.,Differential authority and cross-agent data flow are the central attack mechanism and failure.,ArXiv v2 Abstract p. 1; Sec. 4.1 pp. 3-4 Figs. 2-3; Sec. 4.2 p. 4 Fig. 4; Sec. 5 pp. 4-7 Tables 1-5.,yes
high,62,zhou2026shield_target,From Shield to Target: Denial-of-Service Attacks on LLM-Based Agent Guardrails,standard_attack,metadata/scope/category/evidence/metric,scope=security_relevant; category=attack,Retain security_relevant rather than core; isolate MAS-specific starvation claim; separate token/latency ratios from ASR; do not label primitive unique to MAS.,"Shared-monitor resource isolation is interaction-amplified, but the underlying guardrail DoS is not MAS-native and MAS is only one of several deployment evaluations.",ArXiv v2 Abstract p. 1; Secs. 3-5 pp. 4-7 Fig. 1; Sec. 7.2 pp. 11-12 Table 10; conclusion p. 16.,yes
high,63,rosser2025agentbreeder,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,cross_category,metadata/scope/category/evidence/metric,scope=security_relevant; category=defense,Use the NeurIPS title and spotlight venue; merge the earlier arXiv title; recategorize from mixed defense/attack to defense/evaluation primary; do not treat the 79.4% safety uplift as attack robustness or a guarantee.,"The work evaluates safety properties of composed agent scaffolds and searches for unsafe configurations, but its primary evidence is benchmark safety under architecture search rather than a technical runtime security threat model.",NeurIPS official program abstract for publication identity and 79.4% result; conference paper Secs. 4–5 and result figures/tables for blue/red modes and reward hacking. Exact PDF locators remain for author signoff.,yes
medium,64,mao2025agentsafe,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Keep as defense-primary; record v2/preprint status; do not call it the first systematic memory defense without qualification; make policy-label and identity assumptions explicit; do not generalize the >80% figure.,"The defense enforces inter-agent authorization and memory integrity, which require separately addressable agents and cross-agent information flow.",arXiv abstract for two-component design and >80% headline; paper Sec. 3 framework and Sec. 4 experiments. Exact table/page locators require author signoff against v2 PDF.,yes
medium,65,ebrahimi2025credibility,An Adversary-Resistant Multi-Agent LLM System via Credibility Scoring,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Make defense the primary category; encode stable identity and trusted scoring as assumptions; do not compare the adversary-majority task result to f/n Byzantine thresholds or call it a consensus guarantee.,The protected property and defense are defined over adversarial member contributions and multi-agent aggregation.,"ACL Anthology metadata and abstract; published PDF Secs. 2–4 for scoring, Sec. 5/results tables for adversarial ratios. Exact table locators require author signoff.",yes
medium,66,tailor2025auditwhisper,Audit the Whisper: Detecting Steganographic Collusion in Multi-Agent LLMs,cross_category,metadata/scope/category/evidence/metric,scope=security_relevant; category=defense,"Keep as defense/benchmark primary, not attack; record preprint status; code attack instances as secondary evidence; do not claim covert collusion is generally detectable or that finite-sample guarantees cover arbitrary channels.","The defense, benchmark, and failure are inherently multi-party: colluding agents exploit a hidden communication channel and an auditor observes/intervenes.","arXiv abstract for contributions, 10^-3 FPR, 10k honest runs, and external-suite evaluation; paper Secs. 5–6 and results/limitations for benchmark and detectors. Exact pages/tables require author signoff.",yes
high,67,zou2025blocka2a,BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Keep defense/system primary; record v3 and preprint status; do not treat “guarantees” or Byzantine flagging as a classical consensus theorem; explicitly list ledger/oracle/endpoint adoption assumptions and avoid “first” claims without independent verification.,"The proposed framework addresses identity, message integrity, authorization, Byzantine members, and incident response across explicit A2A interactions.","arXiv abstract for architecture, DOE, attack classes, and sub-second overhead; paper Secs. 3–6 for components and prototype tables. Exact locator validation remains for author signoff.",yes
high,68,jo2025byzantinerobust,Byzantine-Robust Decentralized Coordination of LLM Agents,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,"Keep defense-primary; never cite f<n/2 without synchrony, authentication, and correctness definition; do not compare directly with classical asynchronous f<n/3 or call task accuracy an agreement guarantee; require distributed-systems signoff.","The defense and claims directly concern malicious members, distributed aggregation, agreement/selection, and liveness in an LLM-agent protocol.",arXiv abstract for DecentLLMs and empirical claim; full paper threat model/theorems in pp. 3–7 and experiment tables. All formal statements require expert signoff against exact theorem text.,yes
medium,69,wu2025cowpox,Cowpox: Towards the Immunity of VLM-based Multi-Agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Keep defense-primary and explicitly code prevention plus recovery; separate infection and recovery denominators; quote theoretical guarantees only with full model assumptions; do not generalize to arbitrary LLM-MAS or open populations.,The defense is explicitly population-distributed and addresses infectious jailbreak spread across agent memory/communication.,PMLR abstract for defense concept and theoretical guarantee; published PDF Secs. 3–4 and theorem/result tables for exact conditions. Author signoff required for every bound and denominator.,yes
medium,70,li2025argus,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Keep defense/benchmark primary; downgrade scope to security_relevant unless specific claims involve adversarial integrity; use abstract’s toxicity/task-success metrics rather than generic ASR; make global-goal and trusted-reviewer assumptions explicit.,"It evaluates intentional misinformation injection and downstream multi-agent task integrity, but much of the endpoint is task performance/toxicity rather than a formal CIA/authorization property.",arXiv abstract for MisinfoTask/ARGUS and 28.17%/10.33% averages; paper Secs. 3–5 and result tables for exact metrics. Exact page/table validation remains for author signoff.,yes
medium,71,zhou2025guardian,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Keep defense-primary; distinguish anomaly detection from task recovery; make full temporal-graph visibility and edge-control assumptions explicit; do not generalize 3–7 agent results to open ecosystems.,The attack/defense contract is defined over cross-agent temporal propagation and topology control.,"NeurIPS proceedings abstract for temporal graph method and main claim; published PDF Secs. 3–5 for method, setup, and results. Exact table/page locators remain for author signoff.",yes
high,72,mao2025ibgp,IBGP: Imperfect Byzantine Generals Problem for Zero-Shot Robustness in Communicative Multi-Agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Replace the incorrect seven-author list with the six official authors; label as AAMAS extended abstract; downgrade from any “super-ceiling BFT” framing; report k-of-n partial coordination and global-randomizer assumptions; never compare directly to f<n/3.,"The paper studies adversarial coordination robustness, but its task environments and redefined partial-coordination property are broader reliability/safety and should not be treated as classical security consensus.",Official PDF p. 1 authors/metadata and problem framing; pp. 1–2 Definitions 2.1–2.2; p. 2 Table 1 and protocol description.,yes
medium,73,cui2025maris,Maris: A Formally Verifiable Privacy Policy Enforcement Paradigm for Multi-Agent Collaboration Systems,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Keep defense/formal-system primary; record v5; qualify “formally verifiable” to modeled flows; make complete mediation and policy correctness explicit; do not imply universal semantic noninterference.,The protected property is cross-principal confidentiality/contextual integrity and the enforcement boundary is explicitly multi-agent communication/tool flow.,"arXiv abstract for architecture, AutoGen/LangChain integration, and three task suites; PDF Secs. 3–4 and evaluation tables for policy model and overhead. Exact locators require author signoff.",yes
high,74,he2025atrust,To trust or not to trust: Attention-based Trust Management for LLM Multi-Agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=security_relevant; category=defense,Do not list ACL 2026 as formally published until an Anthology record is found; keep defense-primary; split malicious/deceptive attacks from benign low-quality messages; record attention/internal-signal and threshold assumptions.,"It addresses malicious/unreliable message influence, but the taxonomy mixes deception, toxicity, irrelevance, low quality, and reliability; claim-level security coding is required.","arXiv abstract for six dimensions, A-Trust/TMS, and acceptance comment; full paper Secs. 2–3 and result/limitation sections. Exact tables/pages require author signoff.",yes
high,75,rabieinejad2026alteda,Beyond the prompt: Log-based threat detection and attribution for multi-Agent LLMs,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Replace ALTEDA as paper title with the published title; preserve ALTEDA as method name; correct the 31.4% interpretation to attack success rate; make global synchronized telemetry and log integrity assumptions explicit.,The contribution directly detects cross-agent attack traces and attribution from global execution telemetry.,"ScienceDirect abstract for 800 traces, 31.4% ASR, ~40% early alerts, content-free telemetry, and SHAP attribution; full article architecture/evaluation sections for exact tables. Author signoff required.",yes
medium,76,miao2026blindguard,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Keep defense-primary; preserve ASR@3 and AUC denominators separately; label pruning as containment; do not call unknown-attack performance a guarantee; record global graph visibility and isolation authority.,"Threats propagate through inter-agent communication, and both detection and containment require graph-wide observation/control.",ACL metadata/abstract; published PDF Sec. 3 and Fig. 2 for method; Sec. 4.1/Table 1 for attack families/topologies/backbones/metrics.,yes
medium,77,pan2026xgguard,Explainable and Fine-Grained Safeguarding of LLM Multi-Agent Systems via Bi-Level Graph Anomaly Detection,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,"Keep defense-primary; separate response/agent detection from system ASR; make graph-wide visibility and node-removal authority explicit; call robustness empirical, not guaranteed.","Detection and remediation are defined over compromised members, response flows, and communication topology.",ACL metadata/abstract; PDF Sec. 3 and Fig. 2 for architecture; Sec. 4.1/Table 1 for setup/topologies/attack surfaces.,yes
medium,78,tapwal2026prism,PRISM: Generation-Time Detection and Mitigation of Secret Leakage in Multi-Agent LLM Pipelines,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,"Keep defense/benchmark primary; replace vague “2,000 examples” with 2,000 tasks, 13 categories, three pressure levels, and four agents; preserve task-level denominator; do not convert 0.0% observed leakage into a guarantee.",The protected property is cross-agent secret confidentiality and the threat/defense depends on pipeline propagation across agent boundaries.,"arXiv abstract lines for four-agent pipeline, 2,000 tasks, 13 categories, three pressure levels, all headline metrics; full paper Secs. 3–5 for 16-signal model and baselines.",yes
high,79,darabi2026bioautonomic,Resilience in Ambient Multi-Agent LLMs via Decentralized Bio-Autonomic Control and Immune-Inspired Anomaly Detection,cross_category,metadata/scope/category/evidence/metric,scope=security_relevant; category=defense,Use Amit Ranjan Trivedi in canonical author field.,"The paper mixes fault resilience, anomaly detection, privacy-preserving adaptation, and malicious-agent/control-flow scenarios. The interaction is genuine, but not every evaluated perturbation is adversarial security.","Official AAAI abstract and metadata; repository note method pp.2-5 and evaluation pp.6-7, but exact table/figure locators require author signoff",yes
high,79,darabi2026bioautonomic,Resilience in Ambient Multi-Agent LLMs via Decentralized Bio-Autonomic Control and Immune-Inspired Anomaly Detection,cross_category,metadata/scope/category/evidence/metric,scope=security_relevant; category=defense,Keep defense primary.,Authors claim integrated decentralized resilience and recovery. Coding it as security_relevant rather than uniformly core_security is corpus interpretation because the paper also covers nonadversarial faults and general resilience.,"Official AAAI abstract and metadata; repository note method pp.2-5 and evaluation pp.6-7, but exact table/figure locators require author signoff",yes
high,79,darabi2026bioautonomic,Resilience in Ambient Multi-Agent LLMs via Decentralized Bio-Autonomic Control and Immune-Inspired Anomaly Detection,cross_category,metadata/scope/category/evidence/metric,scope=security_relevant; category=defense,Downgrade scope from blanket core_security to security_relevant unless individual attack claims are separated.,Authors claim integrated decentralized resilience and recovery. Coding it as security_relevant rather than uniformly core_security is corpus interpretation because the paper also covers nonadversarial faults and general resilience.,"Official AAAI abstract and metadata; repository note method pp.2-5 and evaluation pp.6-7, but exact table/figure locators require author signoff",yes
high,79,darabi2026bioautonomic,Resilience in Ambient Multi-Agent LLMs via Decentralized Bio-Autonomic Control and Immune-Inspired Anomaly Detection,cross_category,metadata/scope/category/evidence/metric,scope=security_relevant; category=defense,Do not present resilience recovery as a security guarantee.,Authors claim integrated decentralized resilience and recovery. Coding it as security_relevant rather than uniformly core_security is corpus interpretation because the paper also covers nonadversarial faults and general resilience.,"Official AAAI abstract and metadata; repository note method pp.2-5 and evaluation pp.6-7, but exact table/figure locators require author signoff",yes
medium,80,zhou2026resmas,ResMAS: Resilience Optimization in LLM-based Multi-agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=security_relevant; category=defense,Do not code this as attack.,"Primary perturbations are random agent failures and general resilience, not consistently malicious adversaries. It is important design-time robustness evidence but should not be treated as a pure attack-defense paper.",Official AAAI abstract lines 34-37 and metadata lines 18-48; repository note method pp.3-5 and experiments pp.5-8,yes
medium,80,zhou2026resmas,ResMAS: Resilience Optimization in LLM-based Multi-agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=security_relevant; category=defense,Label design-time defense/resilience.,Authors frame ResMAS as proactive resilience. Classifying it as security_relevant rather than core attack defense is corpus interpretation.,Official AAAI abstract lines 34-37 and metadata lines 18-48; repository note method pp.3-5 and experiments pp.5-8,yes
medium,80,zhou2026resmas,ResMAS: Resilience Optimization in LLM-based Multi-agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=security_relevant; category=defense,Do not call random-failure robustness a security guarantee.,Authors frame ResMAS as proactive resilience. Classifying it as security_relevant rather than core attack defense is corpus interpretation.,Official AAAI abstract lines 34-37 and metadata lines 18-48; repository note method pp.3-5 and experiments pp.5-8,yes
medium,80,zhou2026resmas,ResMAS: Resilience Optimization in LLM-based Multi-agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=security_relevant; category=defense,Preserve exact perturbation model and resilience definition.,Authors frame ResMAS as proactive resilience. Classifying it as security_relevant rather than core attack defense is corpus interpretation.,Official AAAI abstract lines 34-37 and metadata lines 18-48; repository note method pp.3-5 and experiments pp.5-8,yes
medium,81,shi2026saiguard,SAIGuard: Communication-State Simulation for Proactive Defense of LLM Multi-Agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Keep preprint label.,The defense directly targets malicious messages and cross-agent propagation in graph-structured LLM MAS.,Repository note sections 3-4 pp.3-7 and section 5 pp.8-11; arXiv full text must be signed off for exact tables,yes
medium,81,shi2026saiguard,SAIGuard: Communication-State Simulation for Proactive Defense of LLM Multi-Agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Separate proactive interception from formal prevention guarantee.,Authors claim proactive prevention. Treating simulator fidelity as a trust assumption and separating interception from guarantee are corpus interpretations.,Repository note sections 3-4 pp.3-7 and section 5 pp.8-11; arXiv full text must be signed off for exact tables,yes
medium,81,shi2026saiguard,SAIGuard: Communication-State Simulation for Proactive Defense of LLM Multi-Agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,"Record 80 agents only as scalability setting, not general evaluation size.",Authors claim proactive prevention. Treating simulator fidelity as a trust assumption and separating interception from guarantee are corpus interpretations.,Repository note sections 3-4 pp.3-7 and section 5 pp.8-11; arXiv full text must be signed off for exact tables,yes
medium,82,feng2026sentinelnet,SentinelNet: Safeguarding Multi-Agent Collaboration Through Credit-Based Dynamic Threat Detection,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Use published WWW metadata.,Direct malicious-member detection and mitigation in LLM multi-agent debate.,Official ACM abstract and pages 3135-3146; repository note method section 4 pp.4-7 and results section 5 pp.7-10,yes
medium,82,feng2026sentinelnet,SentinelNet: Safeguarding Multi-Agent Collaboration Through Credit-Based Dynamic Threat Detection,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Qualify headline detection/recovery numbers as selected benchmark results.,Authors claim near-100% detection within two rounds and 95% accuracy recovery in experiments. Inferring that local scope may miss coalition-level plausible messages is corpus interpretation.,Official ACM abstract and pages 3135-3146; repository note method section 4 pp.4-7 and results section 5 pp.7-10,yes
medium,82,feng2026sentinelnet,SentinelNet: Safeguarding Multi-Agent Collaboration Through Credit-Based Dynamic Threat Detection,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Code detection and containment separately.,Authors claim near-100% detection within two rounds and 95% accuracy recovery in experiments. Inferring that local scope may miss coalition-level plausible messages is corpus interpretation.,Official ACM abstract and pages 3135-3146; repository note method section 4 pp.4-7 and results section 5 pp.7-10,yes
medium,83,huang2026toposhield,TopoSHIELD: Reshaping the Flow of Malice via Spatio-Temporal Risk-Aware Topological Evolution in Multi-Agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Do not generalize the 58% result.,Directly protects LLM MAS against malicious injection diffusion over communication graphs.,ACL Anthology abstract lines 58-61; metadata lines 62-99; repository note method pp.3-6 and results pp.7-10,yes
medium,83,huang2026toposhield,TopoSHIELD: Reshaping the Flow of Malice via Spatio-Temporal Risk-Aware Topological Evolution in Multi-Agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,"Code functions as detection plus containment, not prevention of initial compromise.",Authors explicitly report 58% toxicity reduction and >90% utility in the highlighted GPT-4o setting. Coding global visibility/topology authority as defense assumptions is corpus interpretation.,ACL Anthology abstract lines 58-61; metadata lines 62-99; repository note method pp.3-6 and results pp.7-10,yes
medium,83,huang2026toposhield,TopoSHIELD: Reshaping the Flow of Malice via Spatio-Temporal Risk-Aware Topological Evolution in Multi-Agent Systems,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=defense,Record global observer and intervention assumptions.,Authors explicitly report 58% toxicity reduction and >90% utility in the highlighted GPT-4o setting. Coding global visibility/topology authority as defense assumptions is corpus interpretation.,ACL Anthology abstract lines 58-61; metadata lines 62-99; repository note method pp.3-6 and results pp.7-10,yes
high,84,juneja2025magpie,MAGPIE: A benchmark for Multi-AGent contextual PrIvacy Evaluation,cross_category,metadata/scope/category/evidence/metric,scope=core_security; category=evaluation,Canonicalize to the five-author 200-task workshop version.,"Privacy/confidentiality is the primary evaluated property, and violations arise through role-relative inter-agent disclosure even though scenarios are non-adversarial.",NeurIPS workshop abstract; repository note dataset/method pp.3-5 and results pp.6-9,yes
