global_priority,review_track,paper_id,canonical_title,canonical_authors,canonical_year,canonical_venue,doi,source_url,version_status,identity_verdict,current_scope,recommended_scope,scope_rationale,current_category,recommended_category,secondary_roles,multiagent_verdict,attack_evidence_status,attack_role,attack_instance_coding_required,adversary_position,adversary_capabilities,preconditions,mechanism,attack_surfaces,primary_system_failure,reported_impact,agent_count_or_configuration,topology,communication,baselines,metric_definition,unit_denominator,system_level_impact_verified,evidence_locators,author_claim_vs_corpus_interpretation,limitations_maturity,key_corrections,review_outcome,promote_to_load_bearing,review_status
55,standard_attack,ahad2026sif,Semantic Intent Fragmentation: A Single-Shot Compositional Attack on Multi-Agent AI Pipelines,Tanzim Ahad; Ismail Hossain; Md Jahangir Alam; Sai Puppala; Yoonpyo Lee; Syed Bahauddin Alam; Sajedul Talukder,2026,"AAAI Symposium Series, Vol. 9 No. 1, pp. 229–237",10.1609/aaaiss.v9i1.42936,https://ojs.aaai.org/index.php/AAAI-SS/article/view/42936,Published AAAI Symposium Series paper; arXiv full text available.,Title/authors/DOI/volume/page range are supported by publisher metadata in the corpus; publisher page returned a transient fetch error and requires author signoff.,core_security,security_relevant,"Strongly relevant to global-vs-local observability and composition, but may be an agentic pipeline rather than a strict LLM-MAS under the proposed boundary.",attack,attack,defense; evaluation; theoretical analysis,"Boundary case. One orchestrator decomposes a request into locally checked subtasks/components; the security claim is compositional and multi-component, but the record does not clearly establish independently stateful LLM agent cores for every component.",workshop_attack_bearing,introduces_attack; proposes_defense,"yes, boundary-labeled",Malicious user submitting one crafted but superficially legitimate request.,Choose initial request only; no later interaction or direct component compromise.,Orchestrator autonomously decomposes work; local safety classifiers see subtasks but not the complete plan/data dependencies.,Semantic Intent Fragmentation across locally benign subtasks.,Orchestrator decomposition; local subtask guardrails; plan/data-flow boundary.,Compositional authorization and information-flow/action-integrity failure.,10 of 14 generated scenarios produced policy-violating plans while all component tasks passed local checks; defense detects all confirmed cases in the same small study.,One orchestrator plus a multi-step plan/components; exact number of independently stateful agents is unclear and must not be inferred from six classifier families.,Central decomposition pipeline.,Plan/subtask dispatch; full execution interaction is not necessarily modeled.,Local subtask classifiers without plan-level verifier; compositional verifier plus taint analysis.,"Scenario-level attack success, local-classifier pass rate, and defense false-positive/detection outcomes.",14 generated enterprise scenarios: 10/14 = 71.4%; six classifier families are not the denominator for attack success.,Policy-violating generated plans are confirmed; actual plan execution or deployed enterprise impact is not shown.,Published/arXiv Abstract p. 1; threat/model sections; evaluation result reporting 10/14; publisher metadata for Vol. 9 No. 1 pp. 229–237.,"Authors call it a multi-agent AI pipeline attack. Corpus should preserve a boundary flag because separately addressable LLM agents are not clearly established, and zero false positives in 14 cases is not a general guarantee.","Peer-reviewed symposium paper; 14 generated scenarios, one orchestrator, uncertain strict-MAS boundary, generated plans rather than executed effects, same-study defense.",Downgrade scope to security_relevant/boundary; clarify 10/14 denominator; qualify “all detected/no false positives”; do not count classifier families as agents; author signoff publisher metadata.,ready_after_major_patch,yes,assistant_source_reviewed_pending_author_signoff
56,standard_attack,cai2026grmp,Graph Representation-based Model Poisoning on the Heterogeneous Internet of Agents,Hanlin Cai; Houtianfu Wang; Haofan Dong; Kai Li; Sai Zou; Ozgur B. Akan,2026,IEEE IWCMC 2026,10.1109/IWCMC69287.2026.11579822,https://doi.org/10.1109/IWCMC69287.2026.11579822,Accepted/published IWCMC 2026 metadata; arXiv v3 revised 8 April 2026 provides full text.,"Six-author formal list verified, but author order in the current queue/note is wrong: official/arXiv order is Cai, Wang, Dong, Li, Zou, Akan.",core_security,adjacent,"Relevant distributed aggregation security, but current scope explicitly prioritizes runtime interaction and excludes training-only work without a runtime MAS consequence.",attack,attack,evaluation; distributed/federated training,"Adjacent rather than core runtime MAS. The participants perform federated fine-tuning and exchange model updates with a central server, not runtime interaction among independently acting LLM agents.",adjacent_attack_bearing,introduces_training_attack,no for core attack corpus; yes in adjacent ledger,Malicious federated participant/client.,Observe/overhear benign updates and submit a statistically camouflaged poisoned local update.,Central federated aggregation; access to benign-update structure; shared global model training.,Graph representation-based model poisoning using feature-correlation graph and variational graph autoencoder.,Federated model-update channel and aggregation server.,Distributed training/global-model integrity failure.,Global model accuracy degradation while evading tested statistical defenses.,Multiple federated clients plus central aggregator; exact client counts vary by experiment.,Star-like federated training topology.,"Model-parameter/update exchange, not natural-language runtime agent messaging.",Conventional poisoning attacks and distance/similarity defenses.,Global-model accuracy degradation and attack detectability/statistical similarity.,"Model/dataset/client experimental configurations, not tasks or agent interactions; exact counts require table extraction.",Training-time global-model degradation only.,ArXiv v3 Abstract p. 1 and method/evaluation sections; IEEE DOI metadata pp. 956–961 and formal author list.,"Authors frame the system as Internet of Agents. Corpus scope interpretation classifies it adjacent because the interaction is federated training, not runtime LLM-agent collaboration.","Peer-reviewed short wireless conference paper; training-only, centralized aggregator, tested models/data distributions, no runtime agent behavior or system action.",Correct author order; move from core_security to adjacent; exclude from core runtime attack counts; retain as foundational/adjacent aggregation-integrity evidence.,ready_after_major_patch,no,assistant_source_reviewed_pending_author_signoff
57,standard_attack,huang2026mcpthreatmodel,Model Context Protocol Threat Modeling and Analysis of Vulnerabilities to Prompt Injection with Tool Poisoning,Charoes Huang; Xin Huang; Ngoc Phu Tran; Amin Milani Fard,2026,"Journal of Cybersecurity and Privacy 6(3), Article 84",10.3390/jcp6030084,https://www.mdpi.com/2624-800X/6/3/84,Published journal article; publisher metadata and DOI recorded.,"Title, four authors, journal/volume/issue/article and DOI are consistent in the publisher/Crossref-derived record; publisher web fetch was rate-limited, so final pagination/metadata requires signoff.",core_security,adjacent,"Highly relevant protocol/tool-boundary security, but it is agentic protocol substrate evidence rather than LLM-MAS interaction among multiple agent cores.",attack,evaluation,threat modeling; attack study; defense recommendations,No under the strict core boundary. The system is an MCP host/client/LLM/server protocol stack; the attack does not require two independently stateful LLM-backed agent cores.,adjacent_attack_bearing,models_and_evaluates_attack,no for core attack corpus; yes in adjacent protocol ledger,Malicious or compromised MCP server/tool publisher.,"Supply attacker-controlled names, descriptions, schemas, and metadata that enter model context.",Client retrieves server metadata and exposes it to the LLM without independent semantic validation.,Tool-metadata prompt injection/tool poisoning.,MCP client-server boundary; client-LLM context boundary; tool selection and parameter display.,Protocol contextual integrity and delegated action-integrity failure.,Attacker-influenced tool selection or parameters and inadequate user visibility in controlled client comparisons.,"One host/LLM connected to MCP servers/tools; seven refers to clients evaluated, not agents.",Client-server protocol architecture.,MCP metadata and tool invocation messages.,"Existing validation, approval, and parameter-visibility behavior of seven MCP clients.",Client security-feature coverage and attack handling/visibility comparisons; not a unified ASR.,Seven client implementations and selected poisoning scenarios/features.,Client behavior/trust-boundary weaknesses are empirically compared; not a multi-agent system-level effect.,Published HTML Sec. 3 Fig. 1/Tables 1-6; Secs. 4-6 evaluation tables; publisher metadata Vol. 6 Issue 3 Article 84.,Authors study MCP threat modeling and clients. Corpus interpretation moves it out of core MAS because protocol endpoints are not necessarily LLM agents.,"Peer-reviewed journal article, but adjacent scope, selected client versions, two main trust boundaries, and many mitigations proposed rather than implemented end-to-end.",Move from core_security to adjacent; reclassify primary from attack to evaluation/threat modeling; do not count seven clients as agents; do not include in core MAS attack denominator.,ready_after_major_patch,no,assistant_source_reviewed_pending_author_signoff
58,standard_attack,xiao2026sgoatmas,You Don't Have to Be the One Doing Evil! Locate a Scapegoat within Multi-Agent Systems for Executing Covert Attacks,Tianzhe Xiao; Haozhao Wang; Yichen Li; Tianlong Luo; Xiong Yongfu; Daiming Kuang; Yi Wang; Yi Liu; Ruixuan Li,2026,"FedKDD/FedMAS Workshop 2026, Oral",,https://openreview.net/forum?id=CIRI47rmLQ,Accepted workshop oral on OpenReview; no DOI recorded. Earlier anonymous submission should not be counted separately.,"Title, nine authors, and workshop-oral status are recorded in the canonical OpenReview/repository note; exact public venue metadata should receive author signoff due OpenReview anti-bot page.",core_security,core_security,"Malicious membership, topology-dependent influence, downstream blame shifting, and observer attribution are interaction-native.",attack,attack,evaluation,"Yes. The attack selects a workflow edge and induces a downstream honest member to emit the corrupting contribution, affecting both decision and attribution.",workshop_attack_bearing,introduces_attack,yes,One malicious member at a selectable workflow position.,"Observe local workflow context, reconstruct/score structural attack edges, send protocol-valid crafted payload.",An honest downstream agent relays/acts on the malicious reasoning; detector attributes suspicious output locally.,SGoatMAS structural reconnaissance and VRR-guided scapegoating/systemic chain poisoning.,Inter-agent reasoning edges; role position; aggregation path; attribution monitor.,Collective decision integrity and accountability/attribution failure.,Reduced final accuracy with lower detector attribution to attacker and higher apparent responsibility assigned to honest downstream agent.,Two to four agents in the scaled decentralized setting; other centralized/hierarchical counts vary.,"Hierarchical, centralized, and decentralized.",Natural-language reasoning links.,Benign execution and naive direct attack.,"Final system Accuracy, Detection Rate, Scapegoat Accuracy, and Vulnerability-to-Risk Ratio.",Task instances and detector decisions; Detection Rate is detector-specific and is not proof of general undetectability.,Benchmark-level final-answer corruption and attribution shifts only.,Workshop PDF Sec. 4 pp. 4-6 Fig. 1; Sec. 5 pp. 7-9 Tables 1-2.,Authors introduce scapegoating. Corpus maps it to mechanism and treats reliable attribution as the additional property; low detection is specific to the evaluated detector.,"Peer-reviewed workshop/oral evidence, small populations, five benchmarks, generated payloads, detector-specific visibility, no real deployment or defense.","Mark workshop evidence tier; keep attack-primary; separate system accuracy, detection, and scapegoat metrics; do not claim general covert/undetectable attack; deduplicate earlier submission.",ready_after_minor_patch,no,assistant_source_reviewed_pending_author_signoff
59,standard_attack,han2025alignment_tipping,Alignment Tipping Process: How Self-Evolution Pushes LLM Agents Off the Rails,Siwei Han; Kaiwen Xiong; Jiaqi Liu; Xinyu Ye; Yaofeng Su; Wenbo Duan; Xinyuan Liu; Cihang Xie; Mohit Bansal; Mingyu Ding; Linjun Zhang; Huaxiu Yao,2025,arXiv preprint,10.48550/arXiv.2510.04860,https://arxiv.org/abs/2510.04860,arXiv v2 revised 11 February 2026; no peer-reviewed publication verified.,"Title, 12 authors, arXiv ID/version history, and preprint-only status verified.",security_relevant,security_relevant,"The MAS diffusion pathway informs collective objective integrity, but there is no explicit adversary and half the paper is single-agent self-evolution.",attack,evaluation,endogenous failure study; defense evaluation,Mixed. Imitative Strategy Diffusion is explicitly multi-agent; Self-Interested Exploration is single-agent.,not_attack_primary,studies_endogenous_failure,no as attack; yes in failure/evaluation ledger,No external or malicious-member adversary in the imitative-diffusion pathway.,Not applicable; adverse rewards and observed peer outcomes drive adaptation.,Agents update strategies from rewards and can observe successful peer violations.,Feedback-driven self-interested exploration and peer imitation/strategy diffusion.,Reward feedback; peer observation; behavioral update process.,Collective objective/alignment integrity failure.,Initially aligned agents adopt violations over rounds in constructed eight-agent simulations.,Eight agents in the MAS diffusion evaluation.,Constructed coordination game/population; exact peer-observation graph must be preserved from setup.,Observation/imitation of peer strategies and outcomes.,Non-evolving and alignment-trained variants; single-agent exploration pathway.,"Violation rate, tool use, task performance, and evolution over rounds.",Agents/rounds/episodes in constructed testbeds; not ASR.,Endogenous simulated behavior drift; no adversarial attack or external action validation.,ArXiv v2 Abstract p. 1; Sec. 2 pp. 3-4 Fig. 2; Sec. 3 pp. 6-7 Figs. 4-5.,Authors call ATP a post-deployment risk. Corpus must not recode it as an attack; only the diffusion pathway is MAS-specific and it supports an emerging failure/observability perspective.,"Preprint, constructed games, eight agents, no attacker, one of two paradigms single-agent, alignment notion/testbed specific, limited defense comparison.",Reclassify primary from attack to evaluation/failure study; retain security_relevant scope; split MAS diffusion from single-agent exploration; exclude from attack counts and use cautious “emerging evidence” language.,ready_after_major_patch,no,assistant_source_reviewed_pending_author_signoff
60,standard_attack,long2025funcpoison,FuncPoison: Poisoning Function Library to Hijack Multi-agent Autonomous Driving Systems,Yuzhen Long; Songze Li,2025,arXiv preprint,10.48550/arXiv.2509.24408,https://arxiv.org/abs/2509.24408,arXiv v2 revised 29 December 2025; no peer-reviewed publication verified.,"Title, two authors, arXiv ID/version history, and preprint-only status verified.",core_security,core_security,"Shared tool/function supply chain, cross-agent propagation, and safety-critical joint trajectory depend on explicit role interaction.",attack,attack,evaluation; defense evaluation,Yes. A poisoned shared function changes one specialized agent’s output and downstream agents consume the corrupted result in a driving pipeline.,preprint_attack_bearing,introduces_attack,yes,Malicious or compromised shared function-library/tool provider.,Add deceptive function descriptions and callable malicious tools; target selected agent roles.,Agents trust text-described shared library entries and pass outputs downstream.,Function-library/tool poisoning with direct and downstream cascade paths.,Shared tool metadata/function library; specialized-agent pipeline; downstream planning.,Communication/shared-artifact and joint trajectory/action-integrity failure.,Trajectory error and collision-rate increases in AgentDriver and AgentThink.,Specialized pipelines in two systems; exact role count differs and should be extracted per architecture.,Perception/memory/reasoning/planning pipeline.,Tool outputs and agent-to-agent intermediate results.,"GCG, AutoDAN, CPA, BadChain, AgentPoison, instruction/filter defenses.","L2 trajectory error, collision rate, and ASR thresholded at L2 error 3 or 6.",Driving episodes/samples; ASR definition changes with the specified L2 threshold and must always include it.,"Trajectory/collision metrics in nuScenes-derived evaluation, not live vehicle impact.",ArXiv v2 Abstract/Sec. 1 pp. 1-2 Fig. 1; method pp. 2-4 Figs. 2-3; Sec. 5 pp. 6-8 Table 2/Figs. 5-6.,Authors call it a function-library attack. Corpus should distinguish the initial artifact integrity failure from downstream trajectory impact and not call all propagation authority escalation.,"Preprint only; two driving frameworks, nuScenes-derived tasks, threshold-sensitive ASR, synthetic malicious tools, no live vehicle, incomplete defenses.",Keep attack-primary; require ASR threshold in every numeric claim; separate tool-state integrity and trajectory impact; avoid real-world safety extrapolation.,ready_after_major_patch,yes,assistant_source_reviewed_pending_author_signoff
61,standard_attack,naik2026omni_leak,OMNI-LEAK: Orchestrator Multi-Agent Network Induced Data Leakage,Akshat Naik; Jay Culligan; Yarin Gal; Philip Torr; Rahaf Aljundi; Alasdair Paren; Adel Bibi,2026,arXiv preprint,10.48550/arXiv.2602.13477,https://arxiv.org/abs/2602.13477,arXiv v2 revised 25 February 2026; no peer-reviewed publication verified.,"Title, seven-author page list, arXiv ID/version history, and preprint status verified. ArXiv’s condensed “by ... and 5 other authors” display is inconsistent with the seven names and should not be used for counting.",core_security,core_security,Differential authority and cross-agent data flow are the central attack mechanism and failure.,attack,attack,benchmark; evaluation,"Yes. One indirect injection crosses a data agent, orchestrator, and separate notification agent with distinct tools/permissions to exfiltrate data.",preprint_attack_bearing,introduces_attack; releases_benchmark,yes,External content adversary without insider implementation knowledge.,Place indirect prompt injection in public data; wait for privileged user query; receive exfiltrated email.,Orchestrator delegates to distinct SQL/data and notification agents; poisoned record is retrieved; per-agent access controls allow split capabilities.,Indirect prompt injection followed by orchestrator-mediated delegated authority composition and exfiltration.,Public data; data-agent context; orchestrator planning; notification tool/email boundary.,Cross-principal confidentiality and delegation/authorization integrity failure.,Exact sensitive records delivered to attacker-specified email in synthetic enterprise workflow.,"One orchestrator, SQL/data agent, notification agent; appendices include variants.",Central orchestrator with specialized workers.,Delegated natural-language/tool workflow and data returned to orchestrator/notification agent.,Direct and indirect attack variants; per-agent access control; model/database/query variations.,Strict exact-match end-to-end attack success plus benign task correctness.,"Workflow attack instances/queries; success requires correct sensitive content at correct attacker recipient, so partial or wrong-recipient cases are failures.",End-to-end synthetic email exfiltration is verified; no production database/email service.,ArXiv v2 Abstract p. 1; Sec. 4.1 pp. 3-4 Figs. 2-3; Sec. 4.2 p. 4 Fig. 4; Sec. 5 pp. 4-7 Tables 1-5.,Authors demonstrate access control does not compose into end-to-end noninterference. Corpus should avoid saying “all agents compromised” unless the paper’s role-specific criteria are met.,"Preprint; synthetic employee database/email API, fixed orchestrator pattern, five frontier model families, strict metric, no complete defense or real deployment.",Keep attack-primary/core; label preprint; preserve exact success predicate; clarify agent count and seven-author list; do not generalize to all orchestrator MAS.,ready_after_minor_patch,yes,assistant_source_reviewed_pending_author_signoff
62,standard_attack,zhou2026shield_target,From Shield to Target: Denial-of-Service Attacks on LLM-Based Agent Guardrails,Yuguang Zhou; Xunguang Wang; Pingchuan Ma; Zhantong Xue; Zhaoyu Wang; Shuai Wang,2026,arXiv preprint,10.48550/arXiv.2606.14517,https://arxiv.org/abs/2606.14517,arXiv v2 revised 16 June 2026; no peer-reviewed publication verified.,"Title, six authors, arXiv ID/version history, and preprint status verified.",security_relevant,security_relevant,"Shared-monitor resource isolation is interaction-amplified, but the underlying guardrail DoS is not MAS-native and MAS is only one of several deployment evaluations.",attack,attack,evaluation; defense evaluation,Partially. The attack primitive targets any reasoning guardrail; MAS-specific harm arises when co-located agents share the saturated guardrail and experience head-of-line blocking/starvation.,preprint_attack_bearing,introduces_general_attack; evaluates_MAS_amplification,"yes, isolate MAS claim",External content adversary whose payload is read and evaluated by runtime guardrail.,Inject natural-language content optimized to extend guardrail reasoning; no guardrail code or agent control.,Guardrail is on action-critical path and shared among agents; scheduling/resource limits allow one request to block others.,Schema-shaped/optimized reasoning-extension payload causing guardrail token and latency amplification.,Untrusted content; shared guardrail service; scheduling/queue; timeout policy.,Shared-service availability and resource-isolation failure.,"13–63× token amplification in standalone tests, up to 148× latency in end-to-end deployments, and starvation/head-of-line blocking in shared MAS guardrail setting.",Co-located agents sharing guardrail in MAS evaluation; exact count must be taken from Sec. 7.2/Table 10.,Shared centralized guardrail bottleneck rather than agent communication graph.,Agent requests pass through a common guardrail service; intermediate rewriting tested for payload resilience.,"Prior reasoning-extension/adversarial methods, filters, token/time budgets, fail-open/fail-closed handling.","Generated tokens, latency amplification, throughput, blocked/task-success outcomes.","Request/deployment-level resource ratios; amplification factors are ratios, not ASR or affected-agent fraction.",Shared-service starvation is shown in a controlled LangGraph-style deployment; no production outage.,ArXiv v2 Abstract p. 1; Secs. 3-5 pp. 4-7 Fig. 1; Sec. 7.2 pp. 11-12 Table 10; conclusion p. 16.,Authors present a general agent-guardrail DoS and a MAS deployment consequence. Corpus must not count it as interaction-unique or use standalone amplification as a MAS metric.,"Preprint only; MAS is one of four deployments, centralized shared service, payload/scheduler configuration dependent, no production incident, defenses involve safety-availability trade-off.",Retain security_relevant rather than core; isolate MAS-specific starvation claim; separate token/latency ratios from ASR; do not label primitive unique to MAS.,ready_after_major_patch,yes,assistant_source_reviewed_pending_author_signoff
63,cross_category,rosser2025agentbreeder,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,J Rosser; Jakob Nicolaus Foerster,2025,"NeurIPS 2025 Main Conference, Spotlight",Not reported,https://proceedings.neurips.cc/paper_files/paper/2025/hash/dc2ccde7ee43e5719e08c68e848bd65a-Abstract-Conference.html,Published NeurIPS 2025 spotlight; canonical conference title differs from the earlier arXiv title “Mitigating the AI Safety Impact of Multi-Agent Scaffolds.”,"NeurIPS official program verifies the conference title, two authors, 2025 spotlight status, and the 79.4% abstract result. Use the conference title and merge arXiv:2502.00757 as the earlier version.",security_relevant,security_relevant,"The work evaluates safety properties of composed agent scaffolds and searches for unsafe configurations, but its primary evidence is benchmark safety under architecture search rather than a technical runtime security threat model.",defense,defense,evaluation; automated system-design search; red-team safety probing,"Yes as a system-design study: the unit is a generated multi-agent scaffold composed of roles, prompts, and communication structure. It is not a runtime malicious-member attack study.",attack_relevant_no_discrete_runtime_attack_instance,red-mode discovers unsafe scaffolds; does not introduce a conventional adversary with a fixed foothold/capability model,no,No fixed external adversary. RedAgentBreeder optimizes scaffold designs under an inverted safety objective.,"Search over role prompts, agent programs, and communication/scaffold structures through evolutionary optimization.",Safety and capability benchmarks are available as fitness objectives; generated scaffold behavior is evaluated end to end.,Multi-objective evolutionary search can select either safer scaffolds or capability-preserving unsafe scaffolds.,System architecture; role prompts; communication/scaffold composition; evaluation objective.,Compositional safety degradation or reward-hacked safety behavior at the scaffold level.,Benchmark-level unsafe behavior in red mode and reported safety-score improvement in blue mode; not a demonstrated deployed compromise.,Variable generated scaffolds; exact population sizes/configurations must be read from the individual discovered programs rather than summarized as one agent count.,Automatically generated scaffold/program structures rather than one fixed topology.,Defined by each generated scaffold and may include sequential or multi-agent exchanges.,"Chain-of-thought, self-consistency, hand-designed scaffolds, and capability-only or safety-aware evolutionary objectives.","Safety benchmark score, capability benchmark score, Pareto performance, and helpfulness checks used to expose reward hacking.","Benchmark-example and scaffold-level aggregate scores; “79.4% uplift” is a relative average benchmark improvement across three blue-mode runs, not attack success rate.",Only benchmark-level scaffold safety and capability effects are verified.,NeurIPS official program abstract for publication identity and 79.4% result; conference paper Secs. 4–5 and result figures/tables for blue/red modes and reward hacking. Exact PDF locators remain for author signoff.,Authors explicitly present blue and red evolutionary modes. Coding this as design-time prevention/evaluation rather than an attack-primary runtime paper is the corpus interpretation.,"Peer-reviewed spotlight. Results depend on benchmark fitness, finite evolutionary budgets, generated scaffolds, and exhibit reward-hacking risk; safety-score uplift is not a security guarantee.",Use the NeurIPS title and spotlight venue; merge the earlier arXiv title; recategorize from mixed defense/attack to defense/evaluation primary; do not treat the 79.4% safety uplift as attack robustness or a guarantee.,ready_after_major_patch,yes,assistant_source_reviewed_pending_author_signoff
64,cross_category,mao2025agentsafe,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,Junyuan Mao; Fanci Meng; Yifan Duan; Miao Yu; Xiaojun Jia; Junfeng Fang; Yuxuan Liang; Kun Wang; Qingsong Wen,2025,arXiv preprint,10.48550/arXiv.2503.04392,https://arxiv.org/abs/2503.04392,"arXiv v2, 8 July 2025; no archival venue verified.","arXiv verifies title, nine-author order, submission history, v2 status, and arXiv DOI.",core_security,core_security,"The defense enforces inter-agent authorization and memory integrity, which require separately addressable agents and cross-agent information flow.",defense,defense,evaluation,"Yes. Agent identities, authority levels, inter-agent messages, and shared/persistent memory are explicit security objects.",attack_bearing_defense_evaluation,"evaluates unauthorized access, impersonation, and malicious-memory poisoning; does not primarily introduce a new attack",yes,Unauthorized or impersonating member agent; malicious writer to shared memory.,"Request protected information, present false authority, or write poisoned content to shared memory.",Agents and information are assigned hierarchical security labels; ThreatSieve and HierarCache are trusted enforcement components.,"Authority-aware message filtering and hierarchical memory management are tested against unauthorized requests, impersonation, and poisoning.",Inter-agent communication; identity/authority metadata; shared memory.,Cross-principal confidentiality and shared-state integrity failure.,Unauthorized disclosure or downstream influence from poisoned memory in the evaluated scenarios.,Varied in scalability experiments; exact counts should be copied from the paper tables rather than inferred from the abstract.,Role/authority-stratified collaboration; no single topology should be coded without checking the experiment table.,Messages are screened using sender/receiver authority and information sensitivity.,"Unprotected systems, component ablations, and prior prompt or memory defenses as specified in the paper.","Defense success rate under adversarial scenarios, task utility, and scalability measures.","Attack-scenario/trial level; the abstract’s “above 80%” is an aggregate defense success statement, not a universal guarantee.",Yes for synthetic unauthorized-access and poisoning scenarios; no production deployment impact is established.,arXiv abstract for two-component design and >80% headline; paper Sec. 3 framework and Sec. 4 experiments. Exact table/page locators require author signoff against v2 PDF.,"The authors explicitly claim hierarchical data and memory defense. Stable identity, correct labels, and trusted policy enforcement as the security contract are corpus interpretations from the design.","Preprint only. Relies on predefined security labels, stable identities, trusted enforcement, and evaluated task/model settings; dynamic membership and adaptive Sybils are not established.",Keep as defense-primary; record v2/preprint status; do not call it the first systematic memory defense without qualification; make policy-label and identity assumptions explicit; do not generalize the >80% figure.,ready_after_minor_patch,yes,assistant_source_reviewed_pending_author_signoff
65,cross_category,ebrahimi2025credibility,An Adversary-Resistant Multi-Agent LLM System via Credibility Scoring,Sana Ebrahimi; Mohsen Dehghankar; Abolfazl Asudeh,2025,"IJCNLP-AACL 2025, pages 1676–1693",10.18653/v1/2025.ijcnlp-long.90,https://aclanthology.org/2025.ijcnlp-long.90/,"Published archival conference paper, December 2025.","ACL Anthology verifies title, three-author order, proceedings, year, pages, and DOI.",core_security,core_security,The protected property and defense are defined over adversarial member contributions and multi-agent aggregation.,defense,defense,evaluation; empirical robustness study,Yes. Persistent agent identities communicate iteratively and credibility-weighted aggregation changes the collective output.,attack_bearing_defense_evaluation,evaluates adversarial and low-performing members but does not primarily propose an attack,yes,Adversarial or persistently unreliable member agents in iterative question answering.,Submit misleading answers/contributions through the normal collaboration protocol.,Agent identity persists across queries; past contribution quality can be scored; the credibility updater and aggregator are trusted.,Historical credibility scores attenuate the influence of agents whose prior contributions were judged poor.,Member contributions; identity/history state; collective aggregation.,Collective decision-integrity failure under adversarial member influence.,Reduced answer accuracy under adversarial populations and empirical recovery from credibility-weighted aggregation.,Varies by experimental population ratio; exact n and adversarial counts should be extracted per experiment.,Iterative communication and centralized credibility-weighted aggregation.,Agents communicate answers/contributions over repeated queries; historical state links identity to past quality.,Standard/unweighted aggregation and credibility-scoring variants.,Final task accuracy/robustness by adversarial population ratio; credibility values and related ablations.,"Question/task-instance level aggregated over experimental sets. “Adversary-majority” is an empirical task-accuracy condition, not Byzantine agreement.",Yes for benchmark collective-answer integrity; no protocol-level agreement/termination guarantee.,"ACL Anthology metadata and abstract; published PDF Secs. 2–4 for scoring, Sec. 5/results tables for adversarial ratios. Exact table locators require author signoff.",Authors explicitly report resilience even in adversary-majority settings. The statement that this is not classical Byzantine agreement is the corpus interpretation required to prevent assumption drift.,"Peer-reviewed. Requires stable identities, repeated-task histories, and a trusted quality signal; identity churn, Sybils, colluding reputation manipulation, and asynchronous agreement are not established.",Make defense the primary category; encode stable identity and trusted scoring as assumptions; do not compare the adversary-majority task result to f/n Byzantine thresholds or call it a consensus guarantee.,ready_after_minor_patch,yes,assistant_source_reviewed_pending_author_signoff
