work_key,title,evidence_set,dominant_contribution,year,venue,peer_reviewed,frozen_citation_count,interaction_interfaces,risk_or_property,interaction_dependence,scope_reason,decision_reason,evidence_basis,evidence_locator,author_signoff_required,human_scope_decision,human_contribution_decision,human_notes
doi:10.1145/3770854.3780202,Robust LLM-based Multi-Agent System with Action Negotiation and Sharing Redundancy Enhancement,set1_core,defense,2026,Knowledge Discovery and Data Mining,yes,0,I2_communication_routing;I4_delegation_action,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",2026-08-18 general-category adjudication retained this work in set1_core and assigned dominant_contribution=defense.,abstract,corpus/review_queue.csv:paper_section=Defenses,yes,,,
doi:10.1109/cscwd68734.2026.11582680,RoMa: A Credibility-Aware Fault-Tolerance Framework for LLM Multi-Agent Systems,set1_core,defense,2026,International Conference on Computer Supported Cooperative Work in Design,yes,0,I2_communication_routing;I5_aggregation_outcome,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",2026-08-18 general-category adjudication retained this work in set1_core and assigned dominant_contribution=defense.,abstract,corpus/review_queue.csv:paper_section=Methodology and Limitations,yes,,,
arxiv_2506_07564,SAFEFLOW: A Principled Protocol for Trustworthy and Transactional Autonomous Agent Systems,set1_core,defense,2025,arXiv,no,26,I1_boundary_admission;I3_state_memory;I4_delegation_action;I6_observation_defense,R5_private_data_leakage,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=26. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,corpus/review_queue.csv:paper_section=Methodology and Limitations,yes,,,
supp_safesieve_from_heuristics_to_experience_in_progressive_pruning_for_llm_based_mul,SafeSieve: From Heuristics to Experience in Progressive Pruning for LLM-based Multi-Agent Communication,set1_core,defense,2025,AAAI 2026,yes,0,I2_communication_routing,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-5/full_review_enriched_5.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2508.11733 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-5/full_review_enriched_5.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2508.11733,yes,,,
arxiv:5154.37952,SecureGov-Agent: A Governance-Centric Multi-Agent Framework for Privacy-Preserving and Attack-Resilient LLM Agents,set1_core,defense,2025,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,yes,12,I2_communication_routing;I4_delegation_action;I6_observation_defense,R5_private_data_leakage;R7_availability_cost,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=12. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,corpus/review_queue.csv:paper_section=Methodology and Limitations,yes,,,
doi:10.4018/979-8-3373-1419-8.ch009,Security and Privacy in Multi-Agent LLM Networks,set1_core,defense,2025,Advances in computational intelligence and robotics book series,yes,1,I2_communication_routing;I5_aggregation_outcome,R3_collective_integrity;R5_private_data_leakage,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",2026-08-18 general-category adjudication retained this work in set1_core and assigned dominant_contribution=defense.,abstract,corpus/review_queue.csv:paper_section=Methodology and Limitations,yes,,,
doi:10.71465/ajainn3659,Self-Healing Memory Architectures for Large Language Model-Based Multi-Agent Collaboration,set1_core,defense,2026,American journal of artificial intelligence and neural networks,yes,0,I3_state_memory;I4_delegation_action;I5_aggregation_outcome;I6_observation_defense,R1_propagation_persistence;R3_collective_integrity,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",2026-08-18 general-category adjudication retained this work in set1_core and assigned dominant_contribution=defense.,abstract,corpus/review_queue.csv:paper_section=Methodology and Limitations,yes,,,
arxiv:2509.14956,Sentinel Agents for Secure and Trustworthy Agentic AI in Multi-Agent Systems,set1_core,defense,2025,arXiv.org,no,10,I1_boundary_admission;I2_communication_routing;I6_observation_defense,R5_private_data_leakage,interaction_dependent_mechanism,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=10. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-4/full_review_enriched_4.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2509.14956 | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-4/full_review_enriched_4.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2509.14956,yes,,,
arxiv_2505_24201,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,set1_core,defense,2025,arXiv,no,19,I1_boundary_admission;I4_delegation_action;I6_observation_defense,R2_collusion_coordination,structurally_multi_agent,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=19. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-6/full_review_enriched_6.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2505.24201 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-6/full_review_enriched_6.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2505.24201,yes,,,
feng2026sentinelnet,SentinelNet: Safeguarding Multi-Agent Collaboration Through Credit-Based Dynamic Threat Detection,set1_core,defense,2026,The Web Conference,yes,0,I2_communication_routing;I5_aggregation_outcome;I6_observation_defense,R3_collective_integrity,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-5/full_review_enriched_5.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2510.16219 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-5/full_review_enriched_5.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2510.16219,yes,,,
doi:10.1109/icca66035.2025.11431026,SPIFFE-Based Zero-Trust Authentication for AI Agent Ecosystems,set1_core,defense,2025,International Conferences on Computing Advancements,yes,4,I2_communication_routing;I4_delegation_action,R6_authority_misuse,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=4. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,corpus/review_queue.csv:paper_section=Methodology and Limitations,yes,,,
doi:10.1109/icassp49660.2025.10890479,Supervisor Alignment Framework: Enhancing LLM Alignment with Query-Ignoring Strategy and Multi-Agent Interaction,set1_core,defense,2025,"IEEE International Conference on Acoustics, Speech, and Signal Processing",yes,3,I1_boundary_admission;I4_delegation_action;I5_aggregation_outcome,R3_collective_integrity,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",2026-08-18 general-category adjudication retained this work in set1_core and assigned dominant_contribution=defense.,abstract,corpus/review_queue.csv:paper_section=Methodology and Limitations,yes,,,
supp_teaching_models_to_balance_resisting_and_accepting_persuasion,Teaching Models to Balance Resisting and Accepting Persuasion,set1_core,defense,2024,NAACL 2025,yes,0,I5_aggregation_outcome,R3_collective_integrity,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-7/full_review_enriched_7.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2410.14596 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-7/full_review_enriched_7.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2410.14596,yes,,,
doi:10.1109/tnse.2026.3680460,Topology Linearization for Multi-Agent Systems Security: Mitigating Malicious Propagation via Path Decomposition,set1_core,defense,2026,IEEE Transactions on Network Science and Engineering,yes,0,I2_communication_routing;I4_delegation_action,R1_propagation_persistence;R7_availability_cost,composition_induced,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,corpus/review_queue.csv:paper_section=Methodology and Limitations,yes,,,
li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,set1_core,evaluation,2026,ICLR,yes,0,,,,"Published A2A protocol benchmark with attacks across discovery, task state, remote requests, and returned artifacts between separately addressable agents.",2026-08-18 benchmark reconciliation: promoted existing A2ASecBench ledger row into Set 1 based on the published ICLR source review.,title_metadata,,yes,,,
an2026aciarena,ACIARena: Toward Unified Evaluation for Agent Cascading Injection,set1_core,evaluation,2026,ACL,yes,0,,,,2026-08-18 source reconciliation established a material inter-agent security path: source_note_explicitly_shows_six_mas_and_cascading_injection_over_trusted_inter_agent_edges.,2026-08-18 benchmark reconciliation promoted this work into set1_core: source_note_explicitly_shows_six_mas_and_cascading_injection_over_trusted_inter_agent_edges.,abstract,full-source-review/full-corpus-review-enrichment-3/full_review_enriched_3.jsonl.gz:pdf_url_used=https://aclanthology.org/2026.acl-long.457.pdf | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-3/full_review_enriched_3.jsonl.gz:pdf_url_used=https://aclanthology.org/2026.acl-long.457.pdf,yes,,,
elyagoubi2026agentleak,AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems,set1_core,evaluation,2026,IEEE Access,yes,3,I2_communication_routing;I3_state_memory;I4_delegation_action;I6_observation_defense,R5_private_data_leakage,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=3. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-4/full_review_enriched_4.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2602.11510 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-4/full_review_enriched_4.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2602.11510,yes,,,
nother2026badacts,Benchmarking the Robustness of Agentic Systems to Adversarially-Induced Harmful Behaviors,set1_core,evaluation,2025,COLM,no,11,I2_communication_routing;I4_delegation_action;I6_observation_defense,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=11. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-1/full_review_enriched_1.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2508.16481 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-1/full_review_enriched_1.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2508.16481,yes,,,
supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,"Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",set1_core,evaluation,2023,NeurIPS 2024,yes,15,I2_communication_routing;I4_delegation_action,unspecified,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=15. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,full_text,blocked-source-review/blocked-source-resolution-7/resolved_7.jsonl:pdf_url=https://arxiv.org/pdf/2309.17234 | full-source-review/full-corpus-review-enrichment-2/full_review_enriched_2.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2309.17234 | corpus/review_queue.csv:evidence_locator=blocked-source-review/blocked-source-resolution-7/resolved_7.jsonl:pdf_url=https://arxiv.org/pdf/2309.17234 | full-source-review/full-corpus-review-enrichment-2/full_review_enriched_2.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2309.17234,yes,,,
doi:10.1109/ijcnn60899.2024.10650172,CRDA: Content Risk Drift Assessment of Large Language Models through Adversarial Multi-Agent Interaction,set1_core,evaluation,2024,IEEE International Joint Conference on Neural Network,yes,0,I3_state_memory;I4_delegation_action,unspecified,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,corpus/review_queue.csv:paper_section=Introduction and Threat Model,yes,,,
milkowski2026amongus,Deception and Communication in Autonomous Multi-Agent Systems: An Experimental Study with Among Us,set1_core,evaluation,2026,AAMAS,yes,0,I2_communication_routing,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-5/full_review_enriched_5.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2603.26635 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-5/full_review_enriched_5.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2603.26635,yes,,,
mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,set1_core,evaluation,2025,IJCNLP-AACL,yes,1,,,,2026-08-18 source reconciliation established a material inter-agent security path: source_review_marks_core_security_with_sender_receiver_collusion_and_overseer.,2026-08-18 benchmark reconciliation promoted this work into set1_core: source_review_marks_core_security_with_sender_receiver_collusion_and_overseer.,abstract,full-source-review/full-corpus-review-enrichment-2/full_review_enriched_2.jsonl.gz:pdf_url_used=https://aclanthology.org/2025.ijcnlp-long.34.pdf | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-2/full_review_enriched_2.jsonl.gz:pdf_url_used=https://aclanthology.org/2025.ijcnlp-long.34.pdf,yes,,,
olson2026liecraft,LieCraft: A Multi-Agent Framework for Evaluating Deceptive Capabilities in Language Models,set1_core,evaluation,2026,AAAI,yes,0,,,,2026-08-18 source reconciliation established a material inter-agent security path: hidden_role_defector_and_collective_decision_integrity_are_relational_security_properties.,2026-08-18 benchmark reconciliation promoted this work into set1_core: hidden_role_defector_and_collective_decision_integrity_are_relational_security_properties.,abstract,full-source-review/full-corpus-review-enrichment-2/full_review_enriched_2.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2603.06874 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-2/full_review_enriched_2.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2603.06874,yes,,,
juneja2025magpie,MAGPIE: A Benchmark for Multi-Agent Contextual Privacy Evaluation,set1_core,evaluation,2025,NeurIPS Responsible Foundation Models Workshop,yes,7,I4_delegation_action,R5_private_data_leakage,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=7. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-5/full_review_enriched_5.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2506.20737 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-5/full_review_enriched_5.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2506.20737,yes,,,
yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,set1_core,evaluation,2024,Findings of ACL,yes,2,I2_communication_routing;I4_delegation_action;I5_aggregation_outcome,R1_propagation_persistence;R3_collective_integrity,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=2. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-2/full_review_enriched_2.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2410.15686 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-2/full_review_enriched_2.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2410.15686,yes,,,
dong2026pear,PEAR: Planner-Executor Agent Robustness Benchmark,set1_core,evaluation,2025,Findings of EACL,yes,0,,,,2026-08-18 source reconciliation established a material inter-agent security path: planner_executor_role_separation_and_role_specific_attacks_make_inter_agent_path_material.,2026-08-18 benchmark reconciliation promoted this work into set1_core: planner_executor_role_separation_and_role_specific_attacks_make_inter_agent_path_material.,abstract,full-source-review/full-corpus-review-enrichment-2/full_review_enriched_2.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2510.07505 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-2/full_review_enriched_2.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2510.07505,yes,,,
doi:10.1109/bigdata66926.2025.11401523,Quantifying Privacy Leakage in Multi-Agent LLMs: A Unified Theoretical and Empirical Analysis,set1_core,evaluation,2025,BigData Congress [Services Society],yes,2,I1_boundary_admission;I2_communication_routing;I4_delegation_action,R5_private_data_leakage,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=2. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,corpus/review_queue.csv:paper_section=Methodology and Limitations,yes,,,
jiang2026risklab,RiskLab: A Controlled Toolkit for Probing Emergent Risks in LLM-Based Multi-Agent Systems,set1_core,evaluation,2026,ACL System Demonstrations,yes,0,,,,2026-08-18 source reconciliation established a material inter-agent security path: current_generic_scope_rejection_conflicts_with_explicit_collusion_overreach_misreporting_and_structural_risk_probes.,2026-08-18 benchmark reconciliation promoted this work into set1_core: current_generic_scope_rejection_conflicts_with_explicit_collusion_overreach_misreporting_and_structural_risk_probes.,full_text,blocked-source-review/blocked-source-resolution-6/resolved_6.jsonl:pdf_url=https://aclanthology.org/2026.acl-demo.17.pdf | full-source-review/full-corpus-review-enrichment-2/full_review_enriched_2.jsonl.gz:pdf_url_used=https://aclanthology.org/2026.acl-demo.17.pdf | corpus/review_queue.csv:evidence_locator=blocked-source-review/blocked-source-resolution-6/resolved_6.jsonl:pdf_url=https://aclanthology.org/2026.acl-demo.17.pdf | full-source-review/full-corpus-review-enrichment-2/full_review_enriched_2.jsonl.gz:pdf_url_used=https://aclanthology.org/2026.acl-demo.17.pdf,yes,,,
doi:10.1109/trustcom66490.2025.00226,Security of LLM Agents: A Case Study Approach,set1_core,evaluation,2025,"International Conference on Trust, Security and Privacy in Computing and Communications",yes,0,I2_communication_routing;I4_delegation_action,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",2026-08-18 general-category adjudication retained this work in set1_core and assigned dominant_contribution=evaluation.,abstract,corpus/review_queue.csv:paper_section=System Model and Defenses,yes,,,
kavathekar2026tamas,TAMAS: Benchmarking Adversarial Risks in Multi-Agent LLM Systems,set1_core,evaluation,2025,ACL,yes,1,I4_delegation_action,R1_propagation_persistence,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=1. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-6/full_review_enriched_6.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2511.05269 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-6/full_review_enriched_6.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2511.05269,yes,,,
supp_the_subtle_art_of_defection_understanding_uncooperative_behaviors_in_llm_based_m,The Subtle Art of Defection: Understanding Uncooperative Behaviors in LLM based Multi-Agent Systems,set1_core,evaluation,2025,EACL 2026 Industry Track,yes,0,,,,2026-08-18 source reconciliation established a material inter-agent security path: four_agent_one_uncooperative_member_setup_uses_deception_threats_and_resource_overuse_to_cause_collective_collapse_and_evaluates_detection_defenses.,2026-08-18 benchmark reconciliation promoted this work into set1_core: four_agent_one_uncooperative_member_setup_uses_deception_threats_and_resource_overuse_to_cause_collective_collapse_and_evaluates_detection_defenses.,abstract,full-source-review/full-corpus-review-enrichment-1/full_review_enriched_1.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2511.15862 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-1/full_review_enriched_1.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2511.15862,yes,,,
liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,set1_core,evaluation,2025,Findings of ACL,yes,0,I2_communication_routing;I3_state_memory;I4_delegation_action,R5_private_data_leakage;R6_authority_misuse,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-3/full_review_enriched_3.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2512.04668 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-3/full_review_enriched_3.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2512.04668,yes,,,
huang2026whispering_agents,Whispering Agents: An Event-Driven Covert Communication Protocol for the Internet of Agents,set1_core,evaluation,2026,AAAI,yes,0,I2_communication_routing;I6_observation_defense,R5_private_data_leakage,interaction_dependent_mechanism,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,full_text,blocked-source-review/blocked-source-resolution-5/resolved_5.jsonl:pdf_url=https://ojs.aaai.org/index.php/AAAI/article/download/40380/44341 | full-source-review/full-corpus-review-enrichment-0/full_review_enriched_0.jsonl.gz:pdf_url_used=https://ojs.aaai.org/index.php/AAAI/article/download/40380/44341 | corpus/review_queue.csv:evidence_locator=blocked-source-review/blocked-source-resolution-5/resolved_5.jsonl:pdf_url=https://ojs.aaai.org/index.php/AAAI/article/download/40380/44341 | full-source-review/full-corpus-review-enrichment-0/full_review_enriched_0.jsonl.gz:pdf_url_used=https://ojs.aaai.org/index.php/AAAI/article/download/40380/44341,yes,,,
xie2025_whos_the_mole,Who's the Mole? Modeling and Detecting Intention-Hiding Malicious Agents in LLM-Based Multi-Agent Systems,set1_core,evaluation,2025,arXiv,no,10,I2_communication_routing;I4_delegation_action;I6_observation_defense,unspecified,interaction_dependent_mechanism,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",2026-08-18 contribution correction: benchmark_and_detection_evaluation_are_dominant_over_attack_primitive.,abstract,full-source-review/full-corpus-review-enrichment-4/full_review_enriched_4.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2507.04724 | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-4/full_review_enriched_4.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2507.04724,yes,,,
arxiv_2512_09187,WOLF: Werewolf-based Observations for LLM Deception and Falsehoods,set1_core,evaluation,2025,arXiv,no,13,I2_communication_routing;I4_delegation_action;I5_aggregation_outcome,R3_collective_integrity,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=no; frozen_citations=13. Meets the Set 1 union rule (peer reviewed OR citations >= 10).,abstract,full-source-review/full-corpus-review-enrichment-3/full_review_enriched_3.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2512.09187 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-3/full_review_enriched_3.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2512.09187,yes,,,
supp_a_trace_based_assurance_framework_for_agentic_ai_orchestration_contracts_testing,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",set1_core,general,2026,ENASE 2026,yes,0,I1_boundary_admission;I2_communication_routing;I3_state_memory;I4_delegation_action,R1_propagation_persistence,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",2026-08-18 contribution correction: paper_reports_methodology_and_estimators_without_empirical_evaluation; primary_contribution_is_security_assurance_methodology.,full_text,blocked-source-review/blocked-source-resolution-5/resolved_5.jsonl:pdf_url=https://arxiv.org/pdf/2603.18096 | full-source-review/full-corpus-review-enrichment-5/full_review_enriched_5.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2603.18096 | corpus/review_queue.csv:evidence_locator=blocked-source-review/blocked-source-resolution-5/resolved_5.jsonl:pdf_url=https://arxiv.org/pdf/2603.18096 | full-source-review/full-corpus-review-enrichment-5/full_review_enriched_5.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2603.18096,yes,,,
supp_atag_ai_agent_application_threat_assessment_with_attack_graphs,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,set1_core,general,2025,ACM AsiaCCS 2026,yes,0,,,,2026-08-18 source reconciliation established a material inter-agent security path: attack_graph_framework_models_inter_agent_topology_and_multi_step_security_paths_across_two_real_multi_agent_applications.,2026-08-18 benchmark reconciliation promoted this work into set1_core: attack_graph_framework_models_inter_agent_topology_and_multi_step_security_paths_across_two_real_multi_agent_applications.,full_text,blocked-source-review/blocked-source-resolution-6/resolved_6.jsonl:pdf_url=https://arxiv.org/pdf/2506.02859 | full-source-review/full-corpus-review-enrichment-0/full_review_enriched_0.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2506.02859 | corpus/review_queue.csv:evidence_locator=blocked-source-review/blocked-source-resolution-6/resolved_6.jsonl:pdf_url=https://arxiv.org/pdf/2506.02859 | full-source-review/full-corpus-review-enrichment-0/full_review_enriched_0.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2506.02859,yes,,,
