record_id,canonical_paper_id,title,publication_date,venue,doi,arxiv_id,publication_status,venue_type,citations,citation_snapshot_date,candidate_basis,source_review_status,recommended_scope,gate_decision,decision_reason
doi:10.18653/v1/2025.acl-long.389,,CoMet: Metaphor-Driven Covert Communication for Multi-Agent Language Games,2025-05-23,ACL LONG,10.18653/v1/2025.acl-long.389,2505.18218,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.18653/v1/2025.emnlp-main.611,liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,2025-01-01,EMNLP,10.18653/v1/2025.emnlp-main.611,2509.16494,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.18653/v1/2025.emnlp-main.623,,Understanding the Information Propagation Effects of Communication Topologies in LLM-based Multi-Agent Systems,2025-01-01,EMNLP MAIN,10.18653/v1/2025.emnlp-main.623,2505.23352,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.18653/v1/2025.emnlp-main.958,,Counterfactual-based Agent Influence Ranker for Agentic AI Workflows,2025-10-29,EMNLP MAIN,10.18653/v1/2025.emnlp-main.958,2510.25612,peer_reviewed,conference,1,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.18653/v1/2025.findings-acl.150,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,2025-01-01,Findings of ACL,10.18653/v1/2025.findings-acl.150,2410.15686,peer_reviewed,conference,36,2026-08-06,peer_reviewed_backbone,source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,Source review recommends paper-level security-relevant scope.
doi:10.18653/v1/2025.findings-acl.265,,An Empirical Study of Group Conformity in Multi-Agent Systems,2025-06-02,FINDINGS ACL,10.18653/v1/2025.findings-acl.265,2506.01332,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.18653/v1/2025.findings-acl.349,he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,2025-02-20,Findings of ACL,10.18653/v1/2025.findings-acl.349,2502.14847,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.18653/v1/2025.findings-emnlp.333,zhang2025allies_foes,When Allies Turn Foes: Exploring Group Characteristics of LLM-Based Multi-Agent Collaborative Systems Under Adversarial Attacks,2025,Findings of EMNLP,10.18653/v1/2025.findings-emnlp.333,,peer_reviewed,conference,1,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.18653/v1/2025.realm-1.13,,"Safe in Isolation, Dangerous Together: Agent-Driven Multi-Turn Decomposition Jailbreaks on LLMs",2025-01-01,REALM 1,10.18653/v1/2025.realm-1.13,,peer_reviewed,conference,19,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.18653/v1/2026.acl-long.1412,,Evaluating Answer Leakage Robustness of LLM Tutors against Adversarial Student Attacks,2026-04-20,ACL LONG,10.18653/v1/2026.acl-long.1412,2604.18660,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.18653/v1/2026.acl-long.1442,kavathekar2026tamas,TAMAS: Benchmarking Adversarial Risks in Multi-Agent LLM Systems,2026-06-03,ACL,10.18653/v1/2026.acl-long.1442,2511.05269,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.18653/v1/2026.acl-long.270,hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,2026-01-01,ACL,10.18653/v1/2026.acl-long.270,2601.01685,peer_reviewed,conference,12,2026-08-06,peer_reviewed_backbone,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.18653/v1/2026.acl-long.330,yan2026evo_attacker,Evo-Attacker: Memory-Augmented Reinforcement Learning for Long-Horizon Tool Attacks on LLM-MAS,2026-05-25,ACL,10.18653/v1/2026.acl-long.330,2605.25389,peer_reviewed,conference,1,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.18653/v1/2026.eacl-demo.10,,IntelliCode: A Multi-Agent LLM Tutoring System with Centralized Learner Modeling,2025-12-21,EACL DEMO,10.18653/v1/2026.eacl-demo.10,2512.18669,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.18653/v1/2026.eacl-long.392,,"Debate, Deliberate, Decide (D3): A Cost-Aware Adversarial Framework for Reliable and Interpretable LLM Evaluation",2026-01-01,EACL LONG,10.18653/v1/2026.eacl-long.392,2410.04663,peer_reviewed,conference,15,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.18653/v1/2026.findings-acl.1348,,The Adaptive Interrogator: Detecting Trojan LLMs in Multi-Agent Systems via Evolved Conversational Strategies,2026-01-01,FINDINGS ACL,10.18653/v1/2026.findings-acl.1348,,peer_reviewed,conference,0,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.18653/v1/2026.findings-acl.1600,,Free-MAD: Consensus-Free Multi-Agent Debate,2025-09-14,FINDINGS ACL,10.18653/v1/2026.findings-acl.1600,2509.11035,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.18653/v1/2026.findings-acl.1934,,From Tasks to Teams: A Risk-First Evaluation Framework for Multi-Agent LLM Systems in Finance,2026-01-01,FINDINGS ACL,10.18653/v1/2026.findings-acl.1934,,peer_reviewed,conference,4,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.18653/v1/2026.findings-acl.1980,liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,2025-12-04,Findings of ACL,10.18653/v1/2026.findings-acl.1980,2512.04668,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.18653/v1/2026.findings-acl.342,zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,2026-01-01,Findings of ACL,10.18653/v1/2026.findings-acl.342,2502.14529,peer_reviewed,conference,0,2026-08-06,peer_reviewed_backbone,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.18653/v1/2026.findings-eacl.233,,MAPRO: Recasting Multi-Agent Prompt Optimization as Maximum a Posteriori Inference,2026-03-06,FINDINGS EACL,10.18653/v1/2026.findings-eacl.233,2510.07475,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.24251/hicss.2026.887,,MAEBE: Multi-Agent Emergent Behavior Framework,2026-01-01,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,10.24251/hicss.2026.887,2506.03053,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.48448/0x5z-8y77,,Towards Robust Real-World Spreadsheet Understanding with Multi-Agent Multi-Format Reasoning,2026-04-14,Annual Meeting of the Association for Computational Linguistics,10.48448/0x5z-8y77,2604.12282,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.48448/3wwf-5e15,,Chain-of-Query: Unleashing the Power of LLMs in SQL-Aided Table Understanding via Multi-Agent Collaboration,2025-08-14,IJCNLP-AACL,10.48448/3wwf-5e15,2508.15809,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.48448/71d8-2j58,,AgentAsk: Multi-Agent Systems Need to Ask,2026-06-03,Formal proceedings (10.48448 DOI),10.48448/71d8-2j58,2510.07593,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.48448/812p-ac41,miao2026blindguard,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,2025-08-11,ACL,10.18653/v1/2026.acl-long.1819,2508.08127,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.48448/99k0-6828,ebrahimi2025credibility,An Adversary-Resistant Multi-Agent LLM System via Credibility Scoring,2025-05-30,IJCNLP-AACL,10.18653/v1/2025.ijcnlp-long.90,2505.24239,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.48448/bp60-8m40,,The Subtle Art of Defection: Understanding Uncooperative Behaviors in LLM based Multi-Agent Systems,2025-11-19,Formal proceedings (10.48448 DOI),10.48448/bp60-8m40,2511.15862,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.48448/egpv-zm74,pan2026xgguard,Explainable and Fine-Grained Safeguarding of LLM Multi-Agent Systems via Bi-Level Graph Anomaly Detection,2026-06-03,ACL,10.18653/v1/2026.acl-long.1407,2512.18733,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.48448/eqah-h093,,Metacognitive Self-Correction for Multi-Agent System via Prototype-Guided Next-Execution Reconstruction,2026-06-03,Formal proceedings (10.48448 DOI),10.48448/eqah-h093,2510.14319,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.48448/ge0h-x321,wu2026cia,CIA: Inferring the Communication Topology from LLM-based Multi-Agent Systems,2026-06-03,ACL,10.18653/v1/2026.acl-long.815,2604.12461,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.48448/m2r6-kd98,zhang2025breaking_agents,Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,2024-07-30,EMNLP,10.18653/v1/2025.emnlp-main.1771,2407.20859,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,Source review recommends paper-level security-relevant scope.
doi:10.48448/z843-da47,ko2026social_dynamics,Social Dynamics as Critical Vulnerabilities that Undermine Objective Decision-Making in LLM Collectives,2026-06-03,ACL,10.18653/v1/2026.acl-long.1756,2604.06091,peer_reviewed,conference,,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,Source review recommends paper-level security-relevant scope.
doi:10.5220/0014234400004052,,AI Agents with Decentralized Identifiers and Verifiable Credentials,2025-10-01,International Conference on Agents and Artificial Intelligence,10.5220/0014234400004052,2511.02841,peer_reviewed,conference,12,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.5220/0014840300004015,,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",2026-03-18,International Conference on Evaluation of Novel Approaches to Software Engineering,10.5220/0014840300004015,2603.18096,peer_reviewed,conference,5,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.52202/079017-2336,motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,2024-02-12,NeurIPS,10.52202/079017-2336,2402.07510,peer_reviewed,conference,107,2026-08-06,peer_reviewed_backbone,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
doi:10.52202/079017-2658,,"Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",2023-09-29,Neural Information Processing Systems,10.52202/079017-2658,2309.17234,peer_reviewed,conference,114,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.65109/frxl8789,milkowski2026amongus,Deception and Communication in Autonomous Multi-Agent Systems: An Experimental Study with Among Us,2026-03-27,AAMAS,10.65109/FRXL8789,2603.26635,peer_reviewed,conference,4,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,Source review recommends paper-level security-relevant scope.
doi:10.65109/jhfw8307,,G2CP: A Graph-Grounded Communication Protocol for Verifiable and Efficient Multi-Agent Reasoning,2026-02-13,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,10.65109/jhfw8307,2602.13370,peer_reviewed,conference,2,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
doi:10.65109/ocsi2038,,EmoDebt: Bayesian-Optimized Emotional Intelligence for Strategic Agent-to-Agent Debt Recovery,2025-03-27,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,10.65109/ocsi2038,2503.21080,peer_reviewed,conference,7,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
